active_kv_bytes,all_evidence_recall,any_evidence_recall,best_evidence_rank,candidate_chunks,chunks_materialized,cpu_to_gpu_selected_kv_bytes,dataset,detail_kv_bytes,example_id,extra_routing_cache_fraction,gist_count,materialized_fraction,materialized_target_coverage,materialized_tokens,mean_selected_normalized_position,median_selected_normalized_position,mrr,packed_index_build_seconds,recall_at_1,recall_at_16,recall_at_3,recall_at_8,routing_chunk_size,routing_gist_bytes,routing_representation,score_position_correlation,seed,selected_chunks,selected_fraction,source_tokens,target_coverage,top_k,topk_primitive_seconds,warm_routing_topk_seconds
393216,0.0,0.0,52,167,3,393216,qasper,21864448,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,0.01564256275758711,1,0.017964071856287425,0.0,96,0.3766704133882852,0.25477707006369427,0.019230769230769232,0.002733400004217401,0.0,0.0,0.0,0.0,32,342016,hidden_state,0.09797674554212013,20260811,3,0.017964071856287425,5338,0.0,3,8.314399980008602e-05,0.0022321399999782445
524288,0.0,0.0,52,167,4,524288,qasper,21864448,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,0.01564256275758711,1,0.023952095808383235,0.0,128,0.5590108654926939,0.725365305357812,0.019230769230769232,0.002733400004217401,0.0,0.0,0.0,0.0,32,342016,hidden_state,0.09797674554212013,20260811,8,0.04790419161676647,5338,0.0,8,4.358000005595386e-05,0.0018785599968396127
524288,0.0,0.0,52,167,4,524288,qasper,21864448,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,0.01564256275758711,1,0.023952095808383235,0.0,128,0.6073435743724241,0.713375796178344,0.019230769230769232,0.002733400004217401,0.0,0.0,0.0,0.0,32,342016,hidden_state,0.09797674554212013,20260811,16,0.09580838323353294,5338,0.0,16,4.222000017762184e-05,0.0017621200007852168
393216,0.0,0.0,8,182,3,393216,qasper,23826432,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,0.015643802647412757,1,0.016483516483516484,0.0,96,0.5088533608389204,0.4373388344507478,0.125,0.0027126999921165407,0.0,1.0,0.0,1.0,32,372736,hidden_state,-0.19840986901248492,20260811,3,0.016483516483516484,5817,0.0,3,4.551199963316321e-05,0.0015536000020802021
524288,0.0,1.0,8,182,4,524288,qasper,23826432,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,0.015643802647412757,1,0.02197802197802198,0.0,128,0.46828261990716863,0.39057933642771187,0.125,0.0027126999921165407,0.0,1.0,0.0,1.0,32,372736,hidden_state,-0.19840986901248492,20260811,8,0.04395604395604396,5817,0.5,8,4.87599999178201e-05,0.0018222599988803267
524288,1.0,1.0,8,182,4,524288,qasper,23826432,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,0.015643802647412757,1,0.02197802197802198,0.0,128,0.4314938971978683,0.37132542547705005,0.125,0.0027126999921165407,0.0,1.0,0.0,1.0,32,372736,hidden_state,-0.19840986901248492,20260811,16,0.08791208791208792,5817,1.0,16,4.673600080423057e-05,0.002149199997074902
393216,0.0,0.0,78,180,3,393216,qasper,23556096,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,0.01564945226917058,1,0.016666666666666666,0.0,96,0.47574334898278564,0.5035645974613111,0.01282051282051282,0.003731900011189282,0.0,0.0,0.0,0.0,32,368640,hidden_state,0.15992096896179164,20260811,3,0.016666666666666666,5751,0.0,3,5.521999904885888e-05,0.0017261600005440414
524288,0.0,0.0,78,180,4,524288,qasper,23556096,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,0.01564945226917058,1,0.022222222222222223,0.0,128,0.5967657798643714,0.5564249695705095,0.01282051282051282,0.003731900011189282,0.0,0.0,0.0,0.0,32,368640,hidden_state,0.15992096896179164,20260811,8,0.044444444444444446,5751,0.0,8,5.81240002065897e-05,0.002452019997872412
524288,0.0,0.0,78,180,4,524288,qasper,23556096,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,0.01564945226917058,1,0.022222222222222223,0.0,128,0.6051121544079291,0.5286037210919841,0.01282051282051282,0.003731900011189282,0.0,0.0,0.0,0.0,32,368640,hidden_state,0.15992096896179164,20260811,16,0.08888888888888889,5751,0.0,16,3.830799949355424e-05,0.002106360002653673
393216,0.0,0.0,12,122,3,393216,qasper,15974400,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,0.01564102564102564,1,0.02459016393442623,0.0,96,0.8328205128205127,0.8328205128205128,0.08333333333333333,0.0022529000125359744,0.0,1.0,0.0,0.0,32,249856,hidden_state,-0.012526958747806962,20260811,3,0.02459016393442623,3900,0.0,3,5.4648000514134765e-05,0.0018703000037930905
524288,0.0,0.0,12,122,4,524288,qasper,15974400,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,0.01564102564102564,1,0.03278688524590164,0.0,128,0.7087179487179487,0.841025641025641,0.08333333333333333,0.0022529000125359744,0.0,1.0,0.0,0.0,32,249856,hidden_state,-0.012526958747806962,20260811,8,0.06557377049180328,3900,0.0,8,5.5307999718934295e-05,0.001951120002195239
