dataset,split,budget_chunks,condition,identities,evidence_recall,evidence_precision,any_evidence,chain_completion,exact_identity,mrr,teacher_top4_overlap,spearman,kl,index_bytes_per_chunk,routing_setup_plus_score_ms,materialized_native_kv_tokens,active_memory_fraction,transfer_bytes
2wikimultihopqa,validation,6,lexical_lowrank_zero_shot,20,0.38625,0.325,0.95,0.5,0.0,0.6916666666666667,0.2875,0.4100968599319458,0.139219219237566,2048.0,0.0,191.35,0.1779182377296295,783769.6
2wikimultihopqa,validation,6,native_farthest_m2,20,0.16625,0.14166666666666666,0.55,0.2,0.0,0.335,0.775,0.5366241753101348,0.5036309376358986,8192.0,0.0,189.65,0.1764078150198659,776806.4
2wikimultihopqa,validation,6,native_mean,20,0.16625,0.14166666666666666,0.65,0.1,0.0,0.2866666666666667,0.65,0.7632804155349732,0.08715900555253028,4096.0,0.0,183.2,0.17210246146193287,750387.2
2wikimultihopqa,validation,6,rank16_mixed,20,0.61125,0.5166666666666667,1.0,0.8,0.0,0.8541666666666666,0.275,0.32373800659552215,0.22160087004303933,2048.0,0.0,191.9,0.17897875460389157,786022.4
2wikimultihopqa,validation,6,rank16_retrained,20,0.9508333333333333,0.8083333333333333,1.0,1.0,0.1,0.975,0.1875,0.3785929886624217,0.3660625457763672,2048.0,0.0,191.9,0.17897875460389157,786022.4
2wikimultihopqa,validation,6,rank16_zero_shot,20,0.23625,0.2,0.75,0.2,0.0,0.4208333333333333,0.375,0.4448367700912058,0.1855372503399849,2048.0,0.0,191.55,0.17810484698841092,784588.8
2wikimultihopqa,validation,6,rank8_centroid8_mixed,20,0.47000000000000003,0.39166666666666666,0.9,0.7,0.0,0.7516666666666667,0.4,0.46640329360961913,0.1225716033950448,256.0,0.0,189.8,0.1775769656138518,777420.8
2wikimultihopqa,validation,6,rank8_centroid8_retrained,20,0.885,0.75,1.0,0.9,0.05,1.0,0.1875,0.3560887625440955,0.34990198984742166,256.0,0.0,191.3,0.17864762877607698,783564.8
2wikimultihopqa,validation,6,rank8_centroid8_zero_shot,20,0.20708333333333334,0.175,0.75,0.25,0.0,0.3883333333333333,0.3375,0.3589653653325513,0.2935709685087204,256.0,0.0,185.25,0.17408647761303045,758784.0
2wikimultihopqa,validation,6,rank8_mixed,20,0.5829166666666666,0.4916666666666667,1.0,0.8,0.0,0.8516666666666668,0.4,0.48207771852612497,0.13156102765351535,1024.0,0.0,191.9,0.17897875460389157,786022.4
2wikimultihopqa,validation,6,rank8_retrained,20,0.9645833333333333,0.8166666666666667,1.0,1.0,0.1,1.0,0.1625,0.3972457157447934,0.428008933365345,1024.0,0.0,191.3,0.17864762877607698,783564.8
2wikimultihopqa,validation,6,rank8_zero_shot,20,0.26875,0.225,0.8,0.15,0.0,0.3975,0.375,0.4221056438982487,0.24102461189031602,1024.0,0.0,191.5,0.1780625815615301,784384.0
musique,test,4,approximate,100,0.12530735246491742,0.3675,0.83,0.22,0.0,0.7233333333333333,0.055,0.0626404913701117,0.14852746434509753,0.0,35.604198748478666,127.03,0.051640865423334265,520314.88
musique,test,4,best_lexical,100,0.1217881569029974,0.3625,0.86,0.2,0.0,0.7158333333333333,0.0625,0.06544101212581153,0.1644440123438835,0.0,35.604198748478666,127.84,0.05198631185240912,523632.64
musique,test,4,bm25,100,0.1217881569029974,0.3625,0.86,0.2,0.0,0.7158333333333333,0.0625,0.06544101212581153,0.1644440123438835,0.0,35.604198748478666,127.84,0.05198631185240912,523632.64
