candidate_count,depth,example_id,graph_density_at_4,layer_id,recall_at_1,recall_at_2,recall_at_4,recall_at_6,recall_at_8,reciprocal_rank,seed,shortcut,source_hop,target_hop,target_rank,target_reachable,target_within_direct_window,target_within_effective_receptive_field,window
12,8,chain-728377-d8,0.3333333333333333,2,0,0,0,0,0,0.1,17,1,2,3,10,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,2,0,0,1,1,1,0.3333333333333333,17,1,3,4,3,1,0,1,w16
12,8,chain-728377-d8,0.3333333333333333,2,0,0,0,1,1,0.2,17,1,4,5,5,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,2,0,0,1,1,1,0.3333333333333333,17,0,5,6,3,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,2,0,0,0,0,0,0.1111111111111111,17,0,6,7,9,1,0,1,w16
12,8,chain-728377-d8,0.3333333333333333,3,0,0,1,1,1,0.25,17,1,0,1,4,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,3,0,0,1,1,1,0.25,17,1,1,2,4,1,0,1,w16
12,8,chain-728377-d8,0.3333333333333333,3,0,0,1,1,1,0.25,17,1,2,3,4,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,3,0,0,1,1,1,0.25,17,1,3,4,4,1,0,1,w16
12,8,chain-728377-d8,0.3333333333333333,3,0,1,1,1,1,0.5,17,0,4,5,2,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,3,0,0,1,1,1,0.3333333333333333,17,0,5,6,3,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,3,0,0,0,0,1,0.14285714285714285,17,0,6,7,7,1,0,1,w16
12,8,chain-728377-d8,0.3333333333333333,4,0,0,0,0,1,0.14285714285714285,17,1,0,1,7,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,4,0,0,0,0,1,0.14285714285714285,17,1,1,2,7,1,0,1,w16
12,8,chain-728377-d8,0.3333333333333333,4,0,0,1,1,1,0.3333333333333333,17,1,2,3,3,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,4,0,0,0,1,1,0.2,17,1,3,4,5,1,0,1,w16
12,8,chain-728377-d8,0.3333333333333333,4,0,1,1,1,1,0.5,17,0,4,5,2,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,4,0,0,1,1,1,0.3333333333333333,17,0,5,6,3,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,4,0,0,0,0,0,0.1,17,0,6,7,10,1,0,1,w16
12,8,chain-728377-d8,0.3333333333333333,5,0,0,0,0,0,0.08333333333333333,17,1,0,1,12,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,5,0,1,1,1,1,0.5,17,0,1,2,2,1,0,1,w16
12,8,chain-728377-d8,0.3333333333333333,5,0,0,1,1,1,0.25,17,1,2,3,4,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,5,0,0,0,1,1,0.2,17,0,3,4,5,1,0,1,w16
12,8,chain-728377-d8,0.3333333333333333,5,0,0,1,1,1,0.3333333333333333,17,1,4,5,3,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,5,0,0,0,1,1,0.16666666666666666,17,0,5,6,6,1,1,1,w16
