stage,config_id,method,edge_family,top_k,threshold,policy,split,seed,example_id,facets,units,edges,interleaved,shared_entity,ari,nmi,pairwise_f1,boundary_f1,cluster_count_error,graph_ms,cluster_ms,iterations,converged
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e023,6,24,62,1,1,1.0,1.0,1.0,1.0,0,1.7460999079048634,1.0076998732984066,3,1
edge_method,edge-cc-lexical,cc,lexical,4,0.55,union,validation,11,validation-s11-e000,1,5,8,0,0,0.0,0.0,0.5714285714285715,0.0,1,1.920799957588315,0.5175000987946987,2,1
edge_method,edge-cc-lexical,cc,lexical,4,0.55,union,validation,11,validation-s11-e001,2,7,6,0,0,0.3636363636363636,0.6712643205715701,0.5,0.2857142857142857,2,1.4158999547362328,0.5200000014156103,2,1
edge_method,edge-cc-lexical,cc,lexical,4,0.55,union,validation,11,validation-s11-e002,3,12,14,1,0,0.45379310344827584,0.7626795719565704,0.5384615384615384,0.888888888888889,3,1.3168000150471926,0.5846000276505947,2,1
edge_method,edge-cc-lexical,cc,lexical,4,0.55,union,validation,11,validation-s11-e003,4,17,22,1,1,0.15035401915868385,0.6003018698813501,0.25000000000000006,0.8,5,1.3644001446664333,0.7247999310493469,2,1
edge_method,edge-cc-lexical,cc,lexical,4,0.55,union,validation,11,validation-s11-e004,5,20,36,0,1,0.08071748878923765,0.59278786694937,0.19607843137254902,0.3636363636363636,6,1.34379998780787,1.0098000057041645,2,1
edge_method,edge-cc-lexical,cc,lexical,4,0.55,union,validation,11,validation-s11-e005,6,24,40,0,1,0.11683006535947713,0.6368252218241373,0.2033898305084746,0.3571428571428571,7,1.4547999016940594,0.870400108397007,2,1
edge_method,edge-cc-lexical,cc,lexical,4,0.55,union,validation,11,validation-s11-e006,1,5,8,1,0,0.0,0.0,0.5714285714285715,0.0,1,1.6483000945299864,0.5784998647868633,2,1
edge_method,edge-cc-lexical,cc,lexical,4,0.55,union,validation,11,validation-s11-e007,2,7,6,1,0,0.3636363636363636,0.6712643205715701,0.5,1.0,2,0.863000052049756,0.40680007077753544,2,1
edge_method,edge-cc-lexical,cc,lexical,4,0.55,union,validation,11,validation-s11-e008,3,13,14,0,0,0.3631123919308358,0.7189844909073844,0.45161290322580644,0.2857142857142857,4,0.851999968290329,0.4024999216198921,2,1
edge_method,edge-cc-lexical,cc,lexical,4,0.55,union,validation,11,validation-s11-e009,4,17,22,0,1,0.15035401915868385,0.6003018698813501,0.25000000000000006,0.3157894736842105,5,0.9648001287132502,0.5165999755263329,2,1
