seed,variant,dataset,condition,examples,gold_mean_token_logprob,gold_mean_logprob_delta_vs_none,gold_first_token_rank,gold_first_token_rank_delta_vs_none,gold_first_token_margin,gold_first_token_margin_delta_vs_none,no_pra_gold_logprob_delta_vs_frozen,no_pra_first_token_rank_delta_vs_frozen,no_pra_first_token_margin_delta_vs_frozen,f1,em,answer_contained,teacher_forced_seconds,generation_seconds,active_memory_tokens,trainable_parameter_count,trainable_parameter_percent,trainable_memory_bytes,trainable_memory_bytes_fp32
37,final_norm_lm_head,qasper,oracle,4,-7.080473899841309,-0.0843966007232666,9.75,-0.75,-6.72265625,-0.0234375,0.1844247579574585,-0.5,0.07421875,0.125,0.0,0.5,0.15567652499885298,0.7962625000072876,960.0,155583488.0,26.10242578339747,311166976.0,622333952.0
37,final_norm_lm_head,qasper,routed,4,-7.392467021942139,-0.3963897228240967,15.0,4.5,-7.046875,-0.34765625,0.1844247579574585,-0.5,0.07421875,0.125,0.0,0.5,0.15345772499858867,0.7769853500067256,384.0,155583488.0,26.10242578339747,311166976.0,622333952.0
37,fixed,hotpotqa,direct_text,4,-3.368145540356636,4.6346713453531265,318.5,-568.25,-7.578125,4.23828125,0.0,0.0,0.0,0.125,0.0,0.25,0.2632406250049826,0.7634027999883983,0.0,0.0,0.0,0.0,0.0
37,fixed,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.15780389998690225,0.6902077499980805,0.0,0.0,0.0,0.0,0.0
37,fixed,hotpotqa,oracle,4,-6.999312579631805,1.0035043060779572,236.75,-650.0,-10.423828125,1.392578125,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.1637294749962166,0.7456234749988653,449.0,0.0,0.0,0.0,0.0
37,fixed,hotpotqa,routed,4,-7.892500400543213,0.11031648516654968,440.5,-446.25,-11.712890625,0.103515625,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.16361634997883812,0.7345362750056665,384.0,0.0,0.0,0.0,0.0
37,fixed,qasper,direct_text,4,-8.971986055374146,-1.791483998298645,21.5,10.5,-8.513671875,-1.740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.5132936750160297,1.0148204249999253,0.0,0.0,0.0,0.0,0.0
37,fixed,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.0,0.0,0.0,0.125,0.0,0.5,0.1474733499926515,0.7215417499974137,0.0,0.0,0.0,0.0,0.0
37,fixed,qasper,oracle,4,-7.341205358505249,-0.16070330142974854,10.5,-0.5,-6.80078125,-0.02734375,0.0,0.0,0.0,0.125,0.0,0.5,0.15661240000918042,0.7977457500091987,960.0,0.0,0.0,0.0,0.0
37,fixed,qasper,routed,4,-7.6368184089660645,-0.45631635189056396,14.75,3.75,-7.125,-0.3515625,0.0,0.0,0.0,0.125,0.0,0.5,0.15478615001484286,0.7666172750032274,384.0,0.0,0.0,0.0,0.0
37,lm_head,hotpotqa,direct_text,4,-3.3148554861545563,4.582549661397934,318.5,-571.0,-7.4453125,3.7734375,0.10541173815727234,2.75,0.59765625,0.2361111111111111,0.0,0.25,0.2644126750092255,0.791404200004763,0.0,155582464.0,26.102253985706433,311164928.0,622329856.0
37,lm_head,hotpotqa,none,4,-7.89740514755249,0.0,889.5,0.0,-11.21875,0.0,0.10541173815727234,2.75,0.59765625,0.05555555555555556,0.0,0.0,0.15582967500085942,0.6436274000006961,0.0,155582464.0,26.102253985706433,311164928.0,622329856.0
37,lm_head,hotpotqa,oracle,4,-6.951134383678436,0.946270763874054,239.75,-649.75,-9.822265625,1.396484375,0.10541173815727234,2.75,0.59765625,0.05555555555555556,0.0,0.0,0.16312752501107752,0.6940560000075493,449.0,155582464.0,26.102253985706433,311164928.0,622329856.0
37,lm_head,hotpotqa,routed,4,-7.828769624233246,0.06863552331924438,445.0,-444.5,-11.310546875,-0.091796875,0.10541173815727234,2.75,0.59765625,0.05555555555555556,0.0,0.0,0.1640499000059208,0.6996702500036918,384.0,155582464.0,26.102253985706433,311164928.0,622329856.0
37,lm_head,qasper,direct_text,4,-8.294385313987732,-1.2983170747756958,21.0,10.5,-7.673828125,-0.974609375,0.18443381786346436,-0.5,0.07421875,0.0625,0.0,0.25,0.5181836250121705,1.016201699982048,0.0,155582464.0,26.102253985706433,311164928.0,622329856.0
37,lm_head,qasper,none,4,-6.996068239212036,0.0,10.5,0.0,-6.69921875,0.0,0.18443381786346436,-0.5,0.07421875,0.1875,0.0,0.75,0.15007654998044018,0.7121524250105722,0.0,155582464.0,26.102253985706433,311164928.0,622329856.0
37,lm_head,qasper,oracle,4,-7.080490231513977,-0.08442199230194092,9.75,-0.75,-6.72265625,-0.0234375,0.18443381786346436,-0.5,0.07421875,0.125,0.0,0.5,0.1568376749928575,0.7775785499979975,960.0,155582464.0,26.102253985706433,311164928.0,622329856.0
37,lm_head,qasper,routed,4,-7.39246678352356,-0.39639854431152344,15.0,4.5,-7.046875,-0.34765625,0.18443381786346436,-0.5,0.07421875,0.125,0.0,0.5,0.15441832500800956,0.7786801250185817,384.0,155582464.0,26.102253985706433,311164928.0,622329856.0
37,lm_head_lora_r8,hotpotqa,direct_text,4,-3.363624781370163,4.589535564184189,334.25,-691.5,-7.563708782196045,4.095225811004639,0.04965654015541077,139.0,0.1574716567993164,0.29166666666666663,0.0,0.25,0.29190612499951385,0.7230220250057755,0.0,1223680.0,0.20529824079164377,4894720.0,4894720.0
37,lm_head_lora_r8,hotpotqa,none,4,-7.953160345554352,0.0,1025.75,0.0,-11.658934593200684,0.0,0.04965654015541077,139.0,0.1574716567993164,0.05555555555555556,0.0,0.0,0.17333647501072846,0.7003228250105167,0.0,1223680.0,0.20529824079164377,4894720.0,4894720.0
37,lm_head_lora_r8,hotpotqa,oracle,4,-6.956248104572296,0.9969122409820557,240.25,-785.5,-10.2675142288208,1.3914203643798828,0.04965654015541077,139.0,0.1574716567993164,0.05555555555555556,0.0,0.0,0.17211457501980476,0.7553403500060085,449.0,1223680.0,0.20529824079164377,4894720.0,4894720.0
37,lm_head_lora_r8,hotpotqa,routed,4,-7.844219446182251,0.10894089937210083,469.5,-556.25,-11.556170463562012,0.10276412963867188,0.04965654015541077,139.0,0.1574716567993164,0.05555555555555556,0.0,0.0,0.17231877500307746,0.7624174249940552,384.0,1223680.0,0.20529824079164377,4894720.0,4894720.0
