split,dataset,example_id,conditioned_root_method,oracle_successor_method,oracle_recall,oracle_precision,oracle_mrr,combined_root_method,combined_successor_method,combined_recall,combined_precision,combined_mrr,comparisons,latency_ms,mapping_semantics
validation,musique,3hop2__103889_30152_20999,hybrid,bm25_state,0.14285714285714285,0.5,0.5,semantic,native_semantic,0.2857142857142857,1.0,1.0,192,239.95610000565648,annotated_dependency
validation,musique,4hop1__105002_17130_70784_61381,bm25,hybrid_state,0.06896551724137931,1.0,1.0,exact,bm25_state,0.06896551724137931,1.0,1.0,172,184.53249987214804,annotated_dependency
validation,musique,4hop1__105401_17130_70784_79935,hybrid,hybrid_state,0.0,0.0,0.16666666666666666,bm25,native_semantic,0.041666666666666664,0.5,0.5,180,206.88079996034503,annotated_dependency
validation,musique,4hop1__105773_457883_650651_7262,semantic,bm25_state,0.13333333333333333,1.0,1.0,semantic,bm25_state,0.13333333333333333,1.0,1.0,158,207.85909984260798,annotated_dependency
validation,musique,4hop2__103790_14670_8987_8529,bm25,approximate_new_address,0.0,0.0,0.25,exact,approximate_new_address,0.0,0.0,0.3333333333333333,170,100.29549989849329,annotated_dependency
validation,musique,4hop2__105527_14670_8987_8974,approx,native_semantic,0.1111111111111111,0.5,1.0,hybrid,native_semantic,0.1111111111111111,0.5,1.0,134,109.52139995060861,annotated_dependency
validation,musique,4hop2__161324_14670_8987_8974,semantic,approximate_new_address,0.1111111111111111,0.5,0.5,approx,native_semantic,0.1111111111111111,0.5,1.0,196,106.37559997849166,annotated_dependency
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,exact,native_semantic,0.0,0.0,0.25,hybrid,native_semantic,0.125,0.5,0.5,334,291.12070007249713,unordered_evidence_remainder
validation,qasper,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,exact,exact_new_address,0.0,0.0,0.058823529411764705,approx,exact_new_address,0.2,0.5,0.5,244,202.69689988344908,unordered_evidence_remainder
validation,qasper,1804.07789:cb6a8c642575d3577d1840ca2f4cd2cc2c3397c5,exact,native_semantic,0.0,0.0,0.25,semantic,exact_new_address,0.2857142857142857,1.0,1.0,382,350.1084002200514,unordered_evidence_remainder
validation,qasper,1809.00540:a99fdd34422f4231442c220c97eafc26c76508dd,exact,exact_new_address,0.0,0.0,0.1111111111111111,bm25,exact_new_address,0.3333333333333333,0.5,0.5,274,189.27580001764,unordered_evidence_remainder
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,hybrid,exact_new_address,0.0,0.0,0.1,semantic,hybrid_state,0.0,0.0,0.3333333333333333,364,234.47589995339513,unordered_evidence_remainder
validation,qasper,1810.08699:1f085b9bb7bfd0d6c8cba1a9d73f08fcf2da7590,exact,bm25_state,0.125,0.5,0.5,exact,bm25_state,0.125,0.5,0.5,264,240.76139996759593,unordered_evidence_remainder
validation,qasper,1907.09369:fd2c6c26fd0ab3c10aae4f2550c5391576a77491,exact,exact_new_address,0.0,0.0,0.3333333333333333,hybrid,exact_new_address,0.0,0.0,0.3333333333333333,208,157.95050002634525,unordered_evidence_remainder
validation,qasper,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,exact,native_semantic,0.125,0.5,0.5,exact,native_semantic,0.125,0.5,0.5,360,250.03989995457232,unordered_evidence_remainder
