split,seed,example_id,method,facets,units,interleaved,shared_entity,ari,nmi,pairwise_f1,boundary_f1,cluster_count_error,predicted_clusters,iterations,converged,edges
test,101,test-s101-e022,graph_cc,5,19,1,1,0.8849724202879052,0.9356101681979258,0.9019607843137255,1.0,2,7,3,1,38
test,101,test-s101-e022,graph_label_propagation,5,19,1,1,0.8849724202879052,0.9356101681979258,0.9019607843137255,1.0,2,7,2,1,38
test,101,test-s101-e023,global,6,24,1,1,0.0,0.0,0.24203821656050956,0.0,5,1,1,1,0
test,101,test-s101-e023,fixed_window,6,24,1,1,0.03256445047489825,0.39019211272981236,0.16216216216216214,0.32000000000000006,0,6,1,1,0
test,101,test-s101-e023,clause_proxy,6,24,1,1,0.03256445047489825,0.39019211272981236,0.16216216216216214,0.32000000000000006,0,6,1,1,0
test,101,test-s101-e023,embedding_kmeans,6,24,1,1,0.349232012934519,0.6401239939262259,0.4776119402985075,0.787878787878788,3,3,3,1,0
test,101,test-s101-e023,graph_cc,6,24,1,1,1.0,1.0,1.0,1.0,0,6,3,1,58
test,101,test-s101-e023,graph_label_propagation,6,24,1,1,0.9019422074846044,0.9619159911841242,0.9142857142857143,0.975609756097561,1,7,5,1,58
test,113,test-s113-e000,global,1,5,0,0,0.0,0.0,1.0,0.0,0,1,1,1,0
test,113,test-s113-e000,fixed_window,1,5,0,0,0.0,0.0,0.7499999999999999,0.0,1,2,1,1,0
test,113,test-s113-e000,clause_proxy,1,5,0,0,0.0,0.0,0.7499999999999999,0.0,1,2,1,1,0
test,113,test-s113-e000,embedding_kmeans,1,5,0,0,0.0,0.0,0.5714285714285715,0.0,1,2,2,1,0
test,113,test-s113-e000,graph_cc,1,5,0,0,0.0,0.0,1.0,0.0,0,1,3,1,14
test,113,test-s113-e000,graph_label_propagation,1,5,0,0,0.0,0.0,1.0,0.0,0,1,5,1,14
test,113,test-s113-e001,global,2,7,0,0,0.0,0.0,0.6,0.0,1,1,1,1,0
test,113,test-s113-e001,fixed_window,2,7,0,0,1.0,0.9999999999999999,1.0,1.0,0,2,1,1,0
test,113,test-s113-e001,clause_proxy,2,7,0,0,1.0,0.9999999999999999,1.0,1.0,0,2,1,1,0
test,113,test-s113-e001,embedding_kmeans,2,7,0,0,1.0,0.9999999999999999,1.0,1.0,0,2,2,1,0
test,113,test-s113-e001,graph_cc,2,7,0,0,1.0,0.9999999999999999,1.0,1.0,0,2,3,1,16
test,113,test-s113-e001,graph_label_propagation,2,7,0,0,0.588235294117647,0.7751949413088235,0.7142857142857143,0.6666666666666666,1,3,2,1,16
test,113,test-s113-e002,global,3,12,1,0,0.0,0.0,0.4470588235294118,0.0,2,1,1,1,0
test,113,test-s113-e002,fixed_window,3,12,1,0,-0.16382252559726962,0.03477263292312078,0.16216216216216214,0.0,0,3,1,1,0
test,113,test-s113-e002,clause_proxy,3,12,1,0,-0.16382252559726962,0.03477263292312078,0.16216216216216214,0.0,0,3,1,1,0
test,113,test-s113-e002,embedding_kmeans,3,12,1,0,0.5023562676720075,0.5920761000575404,0.6799999999999999,0.923076923076923,1,2,2,1,0
test,113,test-s113-e002,graph_cc,3,12,1,0,1.0,1.0,1.0,1.0,0,3,3,1,28
test,113,test-s113-e002,graph_label_propagation,3,12,1,0,0.8422939068100358,0.9031712482854636,0.8823529411764706,1.0,1,4,4,1,28
test,113,test-s113-e003,global,4,17,1,1,0.0,0.0,0.3515151515151515,0.0,3,1,1,1,0
test,113,test-s113-e003,fixed_window,4,17,1,1,-0.005502063273727628,0.3243033767658091,0.18867924528301888,0.3333333333333333,1,5,1,1,0
test,113,test-s113-e003,clause_proxy,4,17,1,1,-0.005502063273727628,0.3243033767658091,0.18867924528301888,0.3333333333333333,1,5,1,1,0
test,113,test-s113-e003,embedding_kmeans,4,17,1,1,0.6497553438063353,0.8464921305298095,0.7435897435897436,0.8333333333333333,1,3,2,1,0
test,113,test-s113-e003,graph_cc,4,17,1,1,1.0,1.0,1.0,1.0,0,4,3,1,42
test,113,test-s113-e003,graph_label_propagation,4,17,1,1,1.0,1.0,1.0,1.0,0,4,2,1,42
test,113,test-s113-e004,global,5,20,0,1,0.0,0.0,0.2882882882882883,0.0,4,1,1,1,0
test,113,test-s113-e004,fixed_window,5,20,0,1,0.6146044624746451,0.7807905101733612,0.6774193548387096,0.25,0,5,1,1,0
test,113,test-s113-e004,clause_proxy,5,20,0,1,0.6146044624746451,0.7807905101733612,0.6774193548387096,0.25,0,5,1,1,0
test,113,test-s113-e004,embedding_kmeans,5,20,0,1,0.5896919090123813,0.7994572353637883,0.6808510638297872,0.8571428571428571,2,3,2,1,0
test,113,test-s113-e004,graph_cc,5,20,0,1,1.0,1.0,1.0,1.0,0,5,3,1,50
test,113,test-s113-e004,graph_label_propagation,5,20,0,1,1.0,1.0,1.0,1.0,0,5,2,1,50
test,113,test-s113-e005,global,6,24,0,1,0.0,0.0,0.24203821656050956,0.0,5,1,1,1,0
test,113,test-s113-e005,fixed_window,6,24,0,1,0.7815468113975578,0.8888560918144849,0.8108108108108109,0.6,0,6,1,1,0
test,113,test-s113-e005,clause_proxy,6,24,0,1,0.7815468113975578,0.8888560918144849,0.8108108108108109,0.6,0,6,1,1,0
test,113,test-s113-e005,embedding_kmeans,6,24,0,1,0.41272865853658536,0.7172549913049902,0.5314685314685315,0.888888888888889,3,3,2,1,0
test,113,test-s113-e005,graph_cc,6,24,0,1,1.0,1.0,1.0,1.0,0,6,3,1,58
test,113,test-s113-e005,graph_label_propagation,6,24,0,1,0.86608442503639,0.9387536778252106,0.8823529411764706,0.625,2,8,2,1,58
test,113,test-s113-e006,global,1,5,1,0,0.0,0.0,1.0,0.0,0,1,1,1,0
test,113,test-s113-e006,fixed_window,1,5,1,0,0.0,0.0,0.7499999999999999,0.0,1,2,1,1,0
test,113,test-s113-e006,clause_proxy,1,5,1,0,0.0,0.0,0.7499999999999999,0.0,1,2,1,1,0
test,113,test-s113-e006,embedding_kmeans,1,5,1,0,0.0,0.0,0.5714285714285715,0.0,1,2,2,1,0
test,113,test-s113-e006,graph_cc,1,5,1,0,0.0,0.0,1.0,0.0,0,1,3,1,14
test,113,test-s113-e006,graph_label_propagation,1,5,1,0,0.0,0.0,0.5714285714285715,0.0,1,2,3,0,14
test,113,test-s113-e007,global,2,7,1,0,0.0,0.0,0.6,0.0,1,1,1,1,0
test,113,test-s113-e007,fixed_window,2,7,1,0,0.02777777777777777,0.13000570548762874,0.4444444444444444,0.33333333333333337,0,2,1,1,0
test,113,test-s113-e007,clause_proxy,2,7,1,0,0.02777777777777777,0.13000570548762874,0.4444444444444444,0.33333333333333337,0,2,1,1,0
test,113,test-s113-e007,embedding_kmeans,2,7,1,0,1.0,0.9999999999999999,1.0,1.0,0,2,2,1,0
test,113,test-s113-e007,graph_cc,2,7,1,0,1.0,0.9999999999999999,1.0,1.0,0,2,2,1,16
test,113,test-s113-e007,graph_label_propagation,2,7,1,0,1.0,0.9999999999999999,1.0,1.0,0,2,2,1,16
test,113,test-s113-e008,global,3,13,0,0,0.0,0.0,0.44000000000000006,0.0,2,1,1,1,0
test,113,test-s113-e008,fixed_window,3,13,0,0,0.4639175257731959,0.6280398242200528,0.6,0.0,1,4,1,1,0
test,113,test-s113-e008,clause_proxy,3,13,0,0,0.4639175257731959,0.6280398242200528,0.6,0.0,1,4,1,1,0
test,113,test-s113-e008,embedding_kmeans,3,13,0,0,1.0,1.0,1.0,1.0,0,3,2,1,0
test,113,test-s113-e008,graph_cc,3,13,0,0,1.0,1.0,1.0,1.0,0,3,3,1,34
test,113,test-s113-e008,graph_label_propagation,3,13,0,0,1.0,1.0,1.0,1.0,0,3,2,1,34
test,113,test-s113-e009,global,4,17,0,1,0.0,0.0,0.3515151515151515,0.0,3,1,1,1,0
test,113,test-s113-e009,fixed_window,4,17,0,1,0.41540577716643745,0.6485243630053688,0.5283018867924529,0.0,1,5,1,1,0
test,113,test-s113-e009,clause_proxy,4,17,0,1,0.41540577716643745,0.6485243630053688,0.5283018867924529,0.0,1,5,1,1,0
test,113,test-s113-e009,embedding_kmeans,4,17,0,1,0.7234273318872018,0.8714348994509404,0.7945205479452054,1.0,1,3,2,1,0
test,113,test-s113-e009,graph_cc,4,17,0,1,1.0,1.0,1.0,1.0,0,4,3,1,44
test,113,test-s113-e009,graph_label_propagation,4,17,0,1,0.8577901707912164,0.9324604526874294,0.8846153846153846,0.7499999999999999,1,5,2,1,44
test,113,test-s113-e010,global,5,19,1,1,0.0,0.0,0.2814070351758794,0.0,4,1,1,1,0
test,113,test-s113-e010,fixed_window,5,19,1,1,-0.01824401368301028,0.3104895929864838,0.14545454545454545,0.31578947368421056,0,5,1,1,0
test,113,test-s113-e010,clause_proxy,5,19,1,1,-0.01824401368301028,0.3104895929864838,0.14545454545454545,0.31578947368421056,0,5,1,1,0
test,113,test-s113-e010,embedding_kmeans,5,19,1,1,0.49221632322505177,0.7106373850784762,0.6024096385542169,0.888888888888889,2,3,2,1,0
test,113,test-s113-e010,graph_cc,5,19,1,1,1.0,1.0000000000000002,1.0,1.0,0,5,3,1,44
test,113,test-s113-e010,graph_label_propagation,5,19,1,1,1.0,1.0000000000000002,1.0,1.0,0,5,2,1,44
test,113,test-s113-e011,global,6,24,1,1,0.0,0.0,0.24203821656050956,0.0,5,1,1,1,0
test,113,test-s113-e011,fixed_window,6,24,1,1,0.001356852103120766,0.3577638374483896,0.13513513513513511,0.2608695652173913,0,6,1,1,0
test,113,test-s113-e011,clause_proxy,6,24,1,1,0.001356852103120766,0.3577638374483896,0.13513513513513511,0.2608695652173913,0,6,1,1,0
test,113,test-s113-e011,embedding_kmeans,6,24,1,1,0.35671256454388983,0.6045923698353941,0.48000000000000004,0.7741935483870968,3,3,2,1,0
test,113,test-s113-e011,graph_cc,6,24,1,1,0.9687924016282227,0.9780268152531073,0.972972972972973,1.0,1,7,3,1,56
