protocol,baseline,feature_ablation,dataset,rows,evidence_recall,precision,mrr,complete_recovery,active_fraction,comparisons,graph_calls,facet_latency_ms,retrieval_latency_ms,callback_invoked,graph_refined,recall_delta_vs_one_shot,corrected_vs_one_shot,harmed_vs_one_shot
standard,B4_callback_graph,compact_state,hotpotqa,80,0.24535714285714288,0.275,0.6937752525252525,0.0,0.08832048041809042,150.375,0.0,0.5268912558676675,117.34111877158284,1.0,0.0,-0.03830357142857142,0.1,0.2375
standard,B4_callback_graph,compact_state,musique,90,0.1450736531986532,0.4388888888888889,0.7892592592592592,0.0,0.05031837622497275,244.83333333333334,0.0,0.5087100021127198,194.0544766968944,1.0,0.0,0.0016791310541310546,0.1111111111111111,0.13333333333333333
standard,B4_callback_graph,compact_state,qasper,80,0.0875242673992674,0.153125,0.39591685006013566,0.0,0.032479887950833994,427.875,0.0,0.39468750765081495,250.90309502847958,1.0,0.0,0.00048809523809523745,0.025,0.075
standard,B5_conditional_graph,compact_state,2wikimultihopqa,120,0.1862962962962963,0.23125,0.5372111902493495,0.0,0.10355713981967528,125.625,0.0,0.37899585246729356,87.96566080418415,1.0,0.0,-0.015416666666666665,0.09166666666666666,0.11666666666666667
standard,B5_conditional_graph,compact_state,hotpotqa,80,0.24327380952380953,0.271875,0.6837752525252525,0.0,0.08832048041809042,150.375,0.0,0.5268912558676675,117.70447626186069,1.0,0.0,-0.04217261904761905,0.0875,0.25
standard,B5_conditional_graph,compact_state,musique,90,0.14418079605579606,0.44166666666666665,0.7966666666666667,0.0,0.05031837622497275,244.83333333333334,0.0,0.5087100021127198,194.21189225071834,1.0,0.0,0.0017121998371998379,0.1111111111111111,0.13333333333333333
standard,B5_conditional_graph,compact_state,qasper,80,0.0875242673992674,0.153125,0.398000183393469,0.0,0.032479887950833994,427.875,0.0,0.39468750765081495,251.0489025269635,1.0,0.0,0.0036130952380952373,0.0375,0.075
standard,B5t_threshold_graph,default,2wikimultihopqa,120,0.22118055555555557,0.27291666666666664,0.5433570235826828,0.0,0.10355713981967528,125.625,0.15833333333333333,5.259695006922509,100.62455746810883,1.0,0.15833333333333333,0.019467592592592595,0.225,0.125
standard,B5t_threshold_graph,default,hotpotqa,80,0.2711607142857143,0.309375,0.6899558080808081,0.0,0.08832048041809042,150.375,0.1875,7.025893748505041,132.9163175309077,1.0,0.1875,-0.014285714285714285,0.2125,0.25
standard,B5t_threshold_graph,default,musique,90,0.14612345987345987,0.44166666666666665,0.7928703703703703,0.0,0.05031837622497275,244.83333333333334,0.15555555555555556,5.769327769262923,207.33518891760872,1.0,0.15555555555555556,0.003654863654863655,0.24444444444444444,0.26666666666666666
standard,B5t_threshold_graph,default,qasper,80,0.10366117216117217,0.1875,0.398000183393469,0.0,0.032479887950833994,427.875,0.1625,4.996918758843094,289.5046324963914,1.0,0.1625,0.019749999999999997,0.175,0.075
standard,B6_complete_action_oracle,default,2wikimultihopqa,120,0.40868055555555555,0.4895833333333333,0.7480835137085137,0.0,0.10355713981967528,125.625,0.041666666666666664,1.726637516791622,96.69626249039236,0.0,0.0,0.0,0.0,0.0
standard,B6_complete_action_oracle,default,hotpotqa,80,0.5875,0.671875,0.96875,0.125,0.08832048041809042,150.375,0.0,0.684887490933761,140.00706252409145,0.0,0.0,0.0,0.0,0.0
standard,B6_complete_action_oracle,default,musique,90,0.2553169053169053,0.7916666666666666,0.9166666666666666,0.0,0.05031837622497275,244.83333333333334,0.05555555555555555,2.399244449204869,215.493966670086,0.0,0.0,0.0,0.0,0.0
standard,B6_complete_action_oracle,default,qasper,80,0.20007669413919413,0.375,0.5612847222222223,0.0,0.032479887950833994,427.875,0.0,0.5602437595371157,274.10691883414984,0.0,0.0,0.0,0.0,0.0
standard,B7_stagewise_oracle,default,2wikimultihopqa,120,0.40868055555555555,0.4895833333333333,0.7480835137085137,0.0,0.10355713981967528,125.625,0.041666666666666664,1.726637516791622,96.69626249039236,1.0,0.041666666666666664,0.0,0.0,0.0
standard,B7_stagewise_oracle,default,hotpotqa,80,0.5875,0.671875,0.96875,0.125,0.08832048041809042,150.375,0.0,0.684887490933761,140.00706252409145,1.0,0.0,0.0,0.0,0.0
standard,B7_stagewise_oracle,default,musique,90,0.2553169053169053,0.7916666666666666,0.9166666666666666,0.0,0.05031837622497275,244.83333333333334,0.05555555555555555,2.399244449204869,215.493966670086,1.0,0.05555555555555555,0.0,0.0,0.0
standard,B7_stagewise_oracle,default,qasper,80,0.20007669413919413,0.375,0.5612847222222223,0.0,0.032479887950833994,427.875,0.0,0.5602437595371157,274.10691883414984,1.0,0.0,0.0,0.0,0.0
