seed,variant,dataset,condition,examples,gold_mean_token_logprob,gold_mean_logprob_delta_vs_none,gold_first_token_rank,gold_first_token_rank_delta_vs_none,gold_first_token_margin,gold_first_token_margin_delta_vs_none,f1,em,answer_contained,teacher_forced_seconds,generation_seconds,active_memory_tokens,trainable_parameter_count,trainable_parameter_percent,trainable_memory_bytes_fp32
23,lora_o_r2,qasper,oracle,4,-6.52939248085022,0.6511095762252808,9.0,-2.0,-6.052734375,0.720703125,0.125,0.0,0.5,0.15856657501717564,0.8614183000026969,960.0,24576.0,0.004123144584936778,98304.0
23,lora_o_r2,qasper,routed,4,-6.699654579162598,0.48084747791290283,13.25,2.25,-6.224609375,0.548828125,0.125,0.0,0.5,0.15657462499802932,0.8099766249943059,384.0,24576.0,0.004123144584936778,98304.0
23,lora_o_r4,hotpotqa,direct_text,4,-3.368145540356636,4.6346713453531265,318.5,-568.25,-7.578125,4.23828125,0.125,0.0,0.25,0.2707127000321634,0.7545950499916216,0.0,49152.0,0.008246289169873557,196608.0
23,lora_o_r4,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.1583337250049226,0.7093189750012243,0.0,49152.0,0.008246289169873557,196608.0
23,lora_o_r4,hotpotqa,oracle,4,-5.940678954124451,2.062137931585312,168.0,-718.75,-7.345703125,4.470703125,0.0,0.0,0.0,0.16634095001791138,0.6453794999833917,449.0,49152.0,0.008246289169873557,196608.0
23,lora_o_r4,hotpotqa,routed,4,-6.827423930168152,1.1753929555416107,413.0,-473.75,-8.51171875,3.3046875,0.0,0.0,0.0,0.16660727499402128,0.6945206499949563,384.0,49152.0,0.008246289169873557,196608.0
23,lora_o_r4,qasper,direct_text,4,-8.971986055374146,-1.791483998298645,21.5,10.5,-8.513671875,-1.740234375,0.0,0.0,0.0,0.5051773249870166,1.0382054000074277,0.0,49152.0,0.008246289169873557,196608.0
23,lora_o_r4,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.125,0.0,0.5,0.14820785001211334,0.7425671750243055,0.0,49152.0,0.008246289169873557,196608.0
23,lora_o_r4,qasper,oracle,4,-6.077061653137207,1.1034404039382935,8.25,-2.75,-5.541015625,1.232421875,0.125,0.0,0.5,0.1584324249997735,0.8370944249909371,960.0,49152.0,0.008246289169873557,196608.0
23,lora_o_r4,qasper,routed,4,-6.208047032356262,0.9724550247192383,14.0,3.0,-5.62890625,1.14453125,0.125,0.0,0.5,0.1564839250058867,0.8171366999886231,384.0,49152.0,0.008246289169873557,196608.0
