baseline,ci95_high,ci95_low,dataset,losses,m,mean_delta,method,pairs,rank,ties,wins
Paper 2.6 gist,0.04375,-0.125,hotpotqa,3,1,-0.034375,native_farthest,16,0,11,2
Paper 2.6 hybrid,-0.02872023809523809,-0.31473214285714285,hotpotqa,8,1,-0.1630952380952381,native_farthest,16,0,5,3
QC exploratory,0.04184523809523809,-0.11062500000000001,hotpotqa,7,1,-0.026577380952380963,native_farthest,16,0,2,7
QC primary,0.02196428571428571,-0.12964285714285714,hotpotqa,9,1,-0.05029761904761905,native_farthest,16,0,1,6
QK key-only m8,0.05794642857142857,-0.07229166666666666,hotpotqa,4,1,-0.007559523809523812,native_farthest,16,0,9,3
QK mean,0.07723214285714286,-0.10624999999999998,hotpotqa,3,1,-0.007142857142857145,native_farthest,16,0,9,4
Paper 2.6 BM25,-0.12113095238095237,-0.4035714285714286,hotpotqa,10,2,-0.25550595238095236,native_farthest,16,0,5,1
Paper 2.6 exact,-0.030357142857142853,-0.25982142857142854,hotpotqa,7,2,-0.14464285714285716,native_farthest,16,0,7,2
Paper 2.6 gist,0.08124999999999999,-0.10982142857142857,hotpotqa,3,2,-0.008482142857142855,native_farthest,16,0,9,4
Paper 2.6 hybrid,-0.009523809523809523,-0.2732142857142857,hotpotqa,8,2,-0.13720238095238094,native_farthest,16,0,5,3
QC exploratory,0.04854166666666666,-0.0543452380952381,hotpotqa,7,2,-0.0006845238095238102,native_farthest,16,0,2,7
QC primary,0.030595238095238106,-0.080625,hotpotqa,9,2,-0.02440476190476191,native_farthest,16,0,1,6
QK key-only m8,0.050833333333333335,-0.005833333333333333,hotpotqa,1,2,0.018333333333333337,native_farthest,16,0,12,3
QK mean,0.08124999999999999,-0.05,hotpotqa,2,2,0.018750000000000003,native_farthest,16,0,10,4
Paper 2.6 BM25,-0.13214285714285715,-0.42470238095238094,hotpotqa,11,4,-0.2769345238095238,native_farthest,16,0,4,1
Paper 2.6 exact,-0.04375,-0.28125,hotpotqa,8,4,-0.1660714285714286,native_farthest,16,0,6,2
Paper 2.6 gist,0.065625,-0.13258928571428572,hotpotqa,5,4,-0.029910714285714284,native_farthest,16,0,7,4
Paper 2.6 hybrid,-0.032886904761904756,-0.29330357142857144,hotpotqa,8,4,-0.15863095238095237,native_farthest,16,0,6,2
QC exploratory,0.025833333333333333,-0.07160714285714284,hotpotqa,9,4,-0.022113095238095237,native_farthest,16,0,2,5
