partition,dataset,fraction,facet_config,query_support_mode,junk_target_tokens,rows,identities,seeds,oracle_root_present,oracle_root_rank,mrr,recall_at_1,recall_at_2,recall_at_4,recall_at_8,oracle_margin,score_entropy,oracle_recall,oracle_precision,oracle_jaccard,complete_oracle,false_positive_parent_count,query_support_tokens,query_facet_count,q_memory_comparisons,active_final_kv_tokens,active_final_kv_fraction,scoring_wall_time,stale_parent_selected
test,qasper,0.2,w2_s1,tail32,0,30,6,5,0.9,1.7333333333333334,0.7622222222222222,0.6,0.8333333333333334,0.9333333333333333,1.0,0.03157378522058328,2.72803525129954,0.8333333333333334,0.2711111111111111,0.2644444444444444,0.7666666666666667,2.7666666666666666,32.0,32.0,522.6666666666666,923.6,0.22894524185457873,0.002222243331683179,0.26666666666666666
test,qasper,0.2,w2_s1,tail32,16,30,6,5,0.9333333333333333,1.6666666666666667,0.7892063492063492,0.6333333333333333,0.9,0.9333333333333333,1.0,0.03322996621330579,2.7279540061950684,0.8666666666666667,0.28777777777777774,0.28111111111111114,0.8,2.7333333333333334,32.0,32.0,522.6666666666666,924.3,0.22925185595882755,0.0023149333331578723,0.26666666666666666
test,qasper,0.2,w2_s1,tail32,32,30,6,5,0.9666666666666667,1.5666666666666667,0.8242063492063492,0.7,0.9,0.9666666666666667,1.0,0.0306023258715868,2.7280597448349,0.8833333333333333,0.2961111111111111,0.28777777777777774,0.8,2.7,32.0,32.0,522.6666666666666,914.3666666666667,0.2271451044565299,0.002368976662789161,0.3
test,qasper,0.2,w2_s1,tail32,64,30,6,5,0.9666666666666667,1.6,0.8047619047619048,0.6666666666666666,0.8666666666666667,0.9666666666666667,1.0,0.03289191572306057,2.7280075311660767,0.8833333333333333,0.2961111111111111,0.28777777777777774,0.8,2.7,32.0,32.0,522.6666666666666,919.3333333333334,0.22819848020767874,0.002328726670627172,0.26666666666666666
test,qasper,0.2,w2_s1,tail64,0,30,6,5,0.9,2.066666666666667,0.7909920634920635,0.6666666666666666,0.8666666666666667,0.9,0.9666666666666667,0.023324922999988,2.7283073981602985,0.85,0.27944444444444444,0.27444444444444444,0.8,2.7666666666666666,64.0,64.0,1045.3333333333333,920.3666666666667,0.22859912888724884,0.0025351299981897077,0.3
test,qasper,0.2,w2_s1,tail64,16,30,6,5,0.9333333333333333,2.533333333333333,0.7250804424333837,0.5666666666666667,0.8,0.9,0.9333333333333333,0.022601377156873544,2.728342549006144,0.8666666666666667,0.28777777777777774,0.28111111111111114,0.8,2.7333333333333334,64.0,64.0,1045.3333333333333,920.3666666666667,0.22859912888724884,0.0026218866657776135,0.23333333333333334
test,qasper,0.2,w2_s1,tail64,32,30,6,5,0.9333333333333333,1.9,0.7953418803418804,0.6666666666666666,0.8666666666666667,0.9333333333333333,0.9666666666666667,0.030062937550246714,2.728650132815043,0.8666666666666667,0.28777777777777774,0.28111111111111114,0.8,2.7333333333333334,64.0,64.0,1045.3333333333333,910.4333333333333,0.2264923773849512,0.0026400233327876776,0.36666666666666664
test,qasper,0.2,w2_s1,tail64,64,30,6,5,0.9,2.1,0.7658496732026144,0.6333333333333333,0.7666666666666667,0.9666666666666667,0.9666666666666667,0.02811215209464232,2.7281093041102094,0.8333333333333334,0.27666666666666667,0.26999999999999996,0.7666666666666667,2.7333333333333334,64.0,64.0,1045.3333333333333,920.3666666666667,0.22859912888724884,0.002491859996613736,0.3
validation,hotpotqa,0.2,w2_s1,full_prompt,0,45,9,5,0.24444444444444444,3.888888888888889,0.39010582010582007,0.17777777777777778,0.28888888888888886,0.5777777777777777,1.0,-0.12418161860356729,1.857951537768046,0.28888888888888886,0.4222222222222222,0.22518518518518518,0.022222222222222223,1.1777777777777778,79.66666666666667,79.66666666666667,551.1111111111111,422.1333333333333,0.2413432575887181,0.0028761177763549817,0.3111111111111111
validation,hotpotqa,0.2,w2_s1,full_prompt,16,45,9,5,0.17777777777777778,4.355555555555555,0.3603337403337404,0.15555555555555556,0.26666666666666666,0.5333333333333333,0.9777777777777777,-0.12490028505110079,1.8581081999672784,0.25555555555555554,0.3888888888888889,0.20296296296296296,0.0,1.2444444444444445,93.88888888888889,93.88888888888889,651.5555555555555,414.93333333333334,0.2357103901099707,0.003068708890997287,0.3333333333333333
