split,dataset,example_id,condition,evidence_recall,precision,mrr,ndcg,any_hit,path_completion,missed_evidence,logical_chunks,requested_chunks,resident_chunks,materialized_chunks,materialized_tokens,active_fraction,distractor_requests,routing_ms,gist_index_build_ms,token_index_build_ms,cold_discovery_ms,semantic_comparisons,token_comparisons
validation,hotpotqa,5adf5cd25542992d7e9f9320,O1_oracle,0.5714285714285714,1.0,1.0,1.0,1.0,0.0,0.4285714285714286,45,4,45,0,0,0.0,0,0.04169996827840805,3.7798001430928707,0.0,3.8215001113712788,0,0
validation,hotpotqa,5a7415cf55429979e28828a6,B0_gist,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61,4,61,0,0,0.0,4,2.2601999808102846,10.219200048595667,0.0,12.479400029405951,61,0
validation,hotpotqa,5a7415cf55429979e28828a6,B1_bm25,0.125,0.25,0.3333333333333333,0.19519002499605084,1.0,0.0,0.875,61,4,61,0,0,0.0,3,86.21270000003278,5.9016000013798475,22.055699955672026,114.16999995708466,61,61
validation,hotpotqa,5a7415cf55429979e28828a6,B2_exact,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61,4,61,0,0,0.0,4,95.48319992609322,5.4294997826218605,21.68660005554557,122.59929976426065,61,61
validation,hotpotqa,5a7415cf55429979e28828a6,B3_weighted,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61,4,61,0,0,0.0,4,89.11209995858371,6.284500006586313,24.81410000473261,120.21069996990263,61,61
validation,hotpotqa,5a7415cf55429979e28828a6,B4_approx,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61,4,61,0,0,0.0,4,90.68679995834827,2.972699934616685,19.044999964535236,112.7044998575002,61,61
validation,hotpotqa,5a7415cf55429979e28828a6,H1_union,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61,4,61,0,0,0.0,4,76.5685997903347,4.658200079575181,15.024299966171384,96.25109983608127,61,61
validation,hotpotqa,5a7415cf55429979e28828a6,H2_token_semantic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61,4,61,0,0,0.0,4,87.38650009036064,2.822499955072999,17.215500120073557,107.4245001655072,61,61
validation,hotpotqa,5a7415cf55429979e28828a6,H3_semantic_token,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61,4,61,0,0,0.0,4,76.77659997716546,4.774699918925762,17.504400108009577,99.0557000041008,61,61
validation,hotpotqa,5a7415cf55429979e28828a6,H4_cascade,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61,4,61,0,0,0.0,4,73.89040011912584,5.008700070902705,19.139999989420176,98.03910017944872,61,61
validation,hotpotqa,5a7415cf55429979e28828a6,H5_iterative_hybrid,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61,4,61,0,0,0.0,4,153.25870015658438,5.234000040218234,19.561600172892213,178.05430036969483,183,183
validation,hotpotqa,5a7415cf55429979e28828a6,A1_broad_semantic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61,8,61,0,0,0.0,8,2.553099999204278,3.1036001164466143,0.0,5.656700115650892,61,0
validation,hotpotqa,5a7415cf55429979e28828a6,O1_oracle,0.5,1.0,1.0,1.0,1.0,0.0,0.5,61,4,61,0,0,0.0,0,0.02210005186498165,4.070299910381436,0.0,4.092399962246418,0,0
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,B0_gist,0.0,0.0,0.0,0.0,0.0,0.0,1.0,167,4,167,0,0,0.0,4,1.516600139439106,9.046999970450997,0.0,10.563600109890103,167,0
