any_evidence,bridge_locality_score,budget_parents,candidate_parents,chain_completion,condition,cross_parent_transitions,dataset,evidence_coverage,exact_evidence_identity,example_id,fraction,local_entropy,local_nodes_activated_per_parent,local_nodes_explored,local_vs_parent_similarity_ratio,materialized_kv_fraction,materialized_kv_tokens,native_qk_comparisons,parent_entropy,path_depth,repeated_parent_transitions,routing_seconds,seed,semantic_gist_comparisons,unique_parents_selected
0.0,0,2,7,0.0,one_shot_parent,0,hotpotqa,0.0,0.0,5a8c8502554299585d9e36d0,0.2,0,0,0,0,0.2944220816561242,512,0,0,1,0,0.004573400015942752,11,7,2
0.0,0,2,7,0.0,parent_closure,0,hotpotqa,0.0,0.0,5a8c8502554299585d9e36d0,0.2,0,0,0,0,0.2944220816561242,512,0,0,2,0,0.0057135000242851675,11,14,2
0.0,0.4798419699072838,2,7,0.0,local_gist_closure,1,hotpotqa,0.0,0.0,5a8c8502554299585d9e36d0,0.2,4.019028663635254,1.0,64,1.8250606324447338,0.2944220816561242,512,0,1.9388021230697632,2,0,0.011284900014288723,11,63,2
1.0,0,3,7,1.0,one_shot_parent,0,hotpotqa,0.5,0.0,5a8c8502554299585d9e36d0,0.3,0,0,0,0,0.4416331224841863,768,0,0,1,0,0.004276500025298446,11,7,3
0.0,0,3,7,0.0,parent_closure,0,hotpotqa,0.0,0.0,5a8c8502554299585d9e36d0,0.3,0,0,0,0,0.4416331224841863,768,0,0,2,0,0.009763300011400133,11,21,3
0.0,0.5427339971065521,3,7,0.0,local_gist_closure,4,hotpotqa,0.0,0.0,5a8c8502554299585d9e36d0,0.3,4.018782138824463,1.0,128,1.9216634703986,0.4416331224841863,768,0,1.9374721050262451,2,2,0.02015549998031929,11,119,3
0.0,0,1,6,0.0,one_shot_parent,0,hotpotqa,0.0,0.0,5a84c4bb5542991dd0999dec,0.1,0,0,0,0,0.17332430602572782,256,0,0,1,0,0.004243000003043562,11,6,1
0.0,0,1,6,0.0,parent_closure,0,hotpotqa,0.0,0.0,5a84c4bb5542991dd0999dec,0.1,0,0,0,0,0.17332430602572782,256,0,0,1,0,0.004413900023791939,11,6,1
0.0,0.0,1,6,0.0,local_gist_closure,0,hotpotqa,0.0,0.0,5a84c4bb5542991dd0999dec,0.1,0.0,1.0,8,1.0,0.17332430602572782,256,0,1.7424290180206299,1,0,0.003532600007019937,11,6,1
0.0,0,2,6,0.0,one_shot_parent,0,hotpotqa,0.0,0.0,5a84c4bb5542991dd0999dec,0.2,0,0,0,0,0.34664861205145564,512,0,0,1,0,0.0033960999571718276,11,6,2
0.0,0,2,6,0.0,parent_closure,0,hotpotqa,0.0,0.0,5a84c4bb5542991dd0999dec,0.2,0,0,0,0,0.34664861205145564,512,0,0,2,0,0.004512400017119944,11,12,2
0.0,0.038193754851818085,2,6,0.0,local_gist_closure,1,hotpotqa,0.0,0.0,5a84c4bb5542991dd0999dec,0.2,3.8540854454040527,1.0,56,1.0366556456875928,0.34664861205145564,512,0,1.758549451828003,2,1,0.010344900016207248,11,54,2
0.0,0,2,6,0.0,one_shot_parent,0,hotpotqa,0.0,0.0,5a84c4bb5542991dd0999dec,0.3,0,0,0,0,0.34664861205145564,512,0,0,1,0,0.0030815000063739717,11,6,2
