example_id,partition,question_type,level,chunk_size,overlap,parent_count,oracle_parent_count,later_oracle_parent_count,root_parent_id,root_oracle_fraction,root_contains_all_evidence,root_contains_multiple_groups,root_contains_only_initial_evidence,evidence_group_count,evidence_group_collisions,oracle_parent_ids,evidence_parent_groups,evidence_tokens,source_tokens,feature_index_build_seconds,parent_pooling_seconds,adjacency_build_seconds,native_dot_products,local_pair_count,atomic_local_count,routing_search_cache_bytes,h2d_bytes,h2d_seconds,gpu_baseline_allocated_bytes,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,native_kv_tokens,materialization_performed
5a7e513a5542994959419996,validation,bridge,hard,32,0,29,4,2,5,0.425531914893617,False,False,True,2,0,5 6 25 26,5 6;25 26,47,919,0.06632120005087927,0.003279099997598678,0.06304210005328059,13512976,841,29,3364,5702792,0.002426200022455305,19783680,61290496,65011712,0,False
5a7e513a5542994959419996,validation,bridge,hard,64,0,15,4,2,2,0.425531914893617,False,False,True,2,0,2 3 12 13,2 3;12 13,47,919,0.06625920004444197,0.0021061000297777355,0.06415310001466423,13512976,841,29,900,5702792,0.0018689999706111848,19653120,61157376,65011712,0,False
5a7e513a5542994959419996,validation,bridge,hard,128,0,8,2,1,1,0.6382978723404256,False,False,True,2,0,1 6,1;6,47,919,0.06631770002422854,0.0008589000208303332,0.06545880000339821,13512976,841,29,256,5702792,0.001881500007584691,20640768,61095936,65011712,0,False
5a7e513a5542994959419996,validation,bridge,hard,256,0,4,2,1,0,0.6382978723404256,False,False,True,2,0,0 3,0;3,47,919,0.06640200002584606,0.0019224000279791653,0.0644795999978669,13512976,841,29,64,5702792,0.001929699967149645,19562496,61066240,65011712,0,False
5a80d6be55429938b6142206,test,bridge,hard,16,0,93,6,3,44,0.27586206896551724,False,False,True,2,0,43 44 45 76 77 78,43 44 45;76 77 78,58,1473,0.23216160002630204,0.006551900005433708,0.22560970002086833,34715664,8649,93,34596,9144504,0.004425699997227639,20594688,54972928,62914560,0,False
5a80d6be55429938b6142206,test,bridge,hard,32,0,47,4,2,22,0.41379310344827586,False,False,True,2,0,21 22 38 39,21 22;38 39,58,1473,0.1611230000271462,0.00445080001372844,0.15667220001341775,34715664,2209,47,8836,9242456,0.003190699964761734,23419904,90299904,100663296,0,False
5a80d6be55429938b6142206,test,bridge,hard,64,0,24,3,1,11,0.41379310344827586,False,False,True,2,0,10 11 19,10 11;19,58,1473,0.15794430003734306,0.0018763000261969864,0.15606800001114607,34715664,2209,47,2304,9242456,0.0055312999757006764,23462400,89910272,100663296,0,False
5a80d6be55429938b6142206,test,bridge,hard,128,0,12,2,1,5,0.5,False,False,True,2,0,5 9,5;9,58,1473,0.15826930000912398,0.0013245000154711306,0.15694479999365285,34715664,2209,47,576,9242456,0.003101999987848103,23195648,89805824,100663296,0,False
5a80d6be55429938b6142206,test,bridge,hard,256,0,6,2,1,2,0.5,False,False,True,2,0,2 4,2;4,58,1473,0.15718969999579713,0.0010750999790616333,0.1561146000167355,34715664,2209,47,144,9242456,0.0025357999838888645,23143936,89753600,100663296,0,False
5ab88c075542991b5579efbe,test,bridge,hard,16,0,102,6,3,51,0.1951219512195122,False,False,True,2,0,50 51 52 72 73 74,50 51 52;72 73 74,82,1628,0.2768146000453271,0.007300800003577024,0.2695138000417501,42406144,10404,102,41616,10029456,0.003322600037790835,23118336,58457088,79691776,0,False
5ab88c075542991b5579efbe,test,bridge,hard,32,0,51,4,2,25,0.3780487804878049,False,False,True,2,0,25 26 36 37,25 26;36 37,82,1628,0.18930180004099384,0.004302799992728978,0.18499900004826486,42406144,2601,51,10404,10029048,0.0034444000339135528,24453632,96655360,104857600,0,False
5ab88c075542991b5579efbe,test,bridge,hard,64,0,26,3,1,12,0.3780487804878049,False,False,True,2,0,12 13 18,12 13;18,82,1628,0.18699669995112345,0.0020459999796003103,0.18495069997152314,42406144,2601,51,2704,10029048,0.0027052999939769506,24202752,96397312,119537664,0,False
5ab88c075542991b5579efbe,test,bridge,hard,128,0,13,2,1,6,0.524390243902439,False,False,True,2,0,6 9,6;9,82,1628,0.1858673999668099,0.0015985999489203095,0.1842688000178896,42406144,2601,51,676,10029048,0.002914500015322119,24088064,96280576,104857600,0,False
5ab88c075542991b5579efbe,test,bridge,hard,256,0,7,2,1,3,0.524390243902439,False,False,True,2,0,3 4,3;4,82,1628,0.1882439000182785,0.0025957999750971794,0.18564810004318133,42406144,2601,51,196,10029048,0.003286500053945929,24030720,96222720,119537664,0,False
5a714b645542994082a3e78b,validation,bridge,hard,16,0,79,7,4,27,0.24242424242424243,False,False,True,2,0,26 27 28 63 64 65 66,26 27 28;63 64 65 66,66,1261,0.16974470001878217,0.003978899971116334,0.16576580004766583,25441936,6241,79,24964,7767912,0.0029315000283531845,24004608,49486336,71303168,0,False
5a714b645542994082a3e78b,validation,bridge,hard,32,0,40,5,3,13,0.3939393939393939,False,False,True,2,0,13 14 31 32 33,13 14;31 32 33,66,1261,0.1176844000001438,0.004129500011913478,0.11355489998823032,25441936,1600,40,6400,7865920,0.0022769999923184514,22706688,78574592,92274688,0,False
5a714b645542994082a3e78b,validation,bridge,hard,64,0,20,4,2,6,0.3939393939393939,False,False,True,2,0,6 7 15 16,6 7;15 16,66,1261,0.11510580003960058,0.0018338999943807721,0.11327190004521981,25441936,1600,40,1600,7865920,0.00427750003291294,21869056,78388224,92274688,0,False
5a714b645542994082a3e78b,validation,bridge,hard,128,0,10,3,2,3,0.4090909090909091,False,False,True,2,0,3 7 8,3;7 8,66,1261,0.11596040002768859,0.0016746000037528574,0.11428580002393574,25441936,1600,40,400,7865920,0.0029826000100001693,22502400,78299136,90177536,0,False
5a714b645542994082a3e78b,validation,bridge,hard,256,0,5,3,2,1,0.4090909090909091,False,False,True,2,0,1 3 4,1;3 4,66,1261,0.11724389996379614,0.001547299965750426,0.11569659999804571,25441936,1600,40,100,7865920,0.004788500024005771,21738496,78256128,90177536,0,False
5abce85755429959677d6b3e,validation,bridge,hard,16,0,123,9,5,72,0.13793103448275862,False,False,True,3,1,71 72 73 74 109 110 111 112 113,71 72 73 74;109 110 111;111 112 113,116,1962,0.3891779000405222,0.005981600028462708,0.3831963000120595,61591104,15129,123,60516,12094344,0.004054799966979772,22438400,69764608,83886080,0,False
5abce85755429959677d6b3e,validation,bridge,hard,32,0,62,6,3,36,0.27586206896551724,False,False,True,3,1,35 36 37 54 55 56,35 36 37;54 55;55 56,116,1962,0.2719995999359526,0.005229699949268252,0.2667698999866843,61591104,3844,62,15376,12192176,0.003982900001574308,27588096,115496448,134217728,0,False
5abce85755429959677d6b3e,validation,bridge,hard,64,0,31,4,2,18,0.3103448275862069,False,False,True,3,1,17 18 27 28,17 18;27;27 28,116,1962,0.2695951999630779,0.0031151999719440937,0.2664799999911338,61591104,3844,62,3844,12192176,0.0042144000180996954,26335232,115815424,134217728,0,False
5abce85755429959677d6b3e,validation,bridge,hard,128,0,16,4,2,9,0.3103448275862069,False,False,True,3,1,8 9 13 14,8 9;13;13 14,116,1962,0.26798670005518943,0.0021538000437431037,0.2658329000114463,61591104,3844,62,1024,12192176,0.005122000002302229,26455552,115693056,134217728,0,False
5abce85755429959677d6b3e,validation,bridge,hard,256,0,8,3,2,4,0.41379310344827586,False,False,True,3,1,4 6 7,4;6;6 7,116,1962,0.2682065000408329,0.001678300031926483,0.2665282000089064,61591104,3844,62,256,12192176,0.0031762999715283513,26127360,115626496,134217728,0,False
