git_sha,seed,model_tier,position_mode,k_storage_mode,logical_offset_policy,stage,layer_id,native_context,logical_context,position_capacity,overlap_fraction,routing_chunk_size,materialization_budget,maximum_native_operation,dense_counterfactual_tokens,processed_tokens,encoding_cost_ratio,native_k_rmse,native_k_cosine
d36f6775270125cd198543b77dc114e6018ee67a,1,small,absolute,post_position,source_relative,offset_overlap_25,3,32,128,192,0.25,32,160,32,128,152,1.1875,0.31881386041641235,0.9256855845451355
d36f6775270125cd198543b77dc114e6018ee67a,1,small,absolute,post_position,source_relative,offset_overlap_50,0,32,128,192,0.5,32,160,32,128,176,1.375,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,1,small,absolute,post_position,source_relative,offset_overlap_50,1,32,128,192,0.5,32,160,32,128,176,1.375,0.08808659762144089,0.9930579662322998
d36f6775270125cd198543b77dc114e6018ee67a,1,small,absolute,post_position,source_relative,offset_overlap_50,2,32,128,192,0.5,32,160,32,128,176,1.375,0.18878865242004395,0.974334716796875
d36f6775270125cd198543b77dc114e6018ee67a,1,small,absolute,post_position,source_relative,offset_overlap_50,3,32,128,192,0.5,32,160,32,128,176,1.375,0.4066419303417206,0.8795300126075745
d36f6775270125cd198543b77dc114e6018ee67a,7,small,absolute,post_position,reset,reset,0,32,128,192,0.0,32,160,32,128,128,1.0,0.6653433442115784,0.6195166110992432
d36f6775270125cd198543b77dc114e6018ee67a,7,small,absolute,post_position,reset,reset,1,32,128,192,0.0,32,160,32,128,128,1.0,0.6719474792480469,0.6167438626289368
d36f6775270125cd198543b77dc114e6018ee67a,7,small,absolute,post_position,reset,reset,2,32,128,192,0.0,32,160,32,128,128,1.0,0.668921947479248,0.6024577617645264
d36f6775270125cd198543b77dc114e6018ee67a,7,small,absolute,post_position,reset,reset,3,32,128,192,0.0,32,160,32,128,128,1.0,0.6348559856414795,0.6916683912277222
d36f6775270125cd198543b77dc114e6018ee67a,7,small,absolute,post_position,source_relative,offset,0,32,128,192,0.0,32,160,32,128,128,1.0,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,7,small,absolute,post_position,source_relative,offset,1,32,128,192,0.0,32,160,32,128,128,1.0,0.09285575151443481,0.9920642971992493
d36f6775270125cd198543b77dc114e6018ee67a,7,small,absolute,post_position,source_relative,offset,2,32,128,192,0.0,32,160,32,128,128,1.0,0.1365409940481186,0.9826955795288086
d36f6775270125cd198543b77dc114e6018ee67a,7,small,absolute,post_position,source_relative,offset,3,32,128,192,0.0,32,160,32,128,128,1.0,0.2869916260242462,0.9363210201263428
d36f6775270125cd198543b77dc114e6018ee67a,7,small,absolute,post_position,source_relative,offset_overlap_25,0,32,128,192,0.25,32,160,32,128,152,1.1875,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,7,small,absolute,post_position,source_relative,offset_overlap_25,1,32,128,192,0.25,32,160,32,128,152,1.1875,0.0717315822839737,0.9954672455787659
d36f6775270125cd198543b77dc114e6018ee67a,7,small,absolute,post_position,source_relative,offset_overlap_25,2,32,128,192,0.25,32,160,32,128,152,1.1875,0.12592728435993195,0.9850142002105713
d36f6775270125cd198543b77dc114e6018ee67a,7,small,absolute,post_position,source_relative,offset_overlap_25,3,32,128,192,0.25,32,160,32,128,152,1.1875,0.31388944387435913,0.9219147562980652
d36f6775270125cd198543b77dc114e6018ee67a,7,small,absolute,post_position,source_relative,offset_overlap_50,0,32,128,192,0.5,32,160,32,128,176,1.375,0.0,1.0
