seed,model_tier,position_mode,strategy,global_positions,overlap_fraction,layer_id,sequence_tokens,encoding_block_tokens,processed_tokens,encoding_cost_ratio,native_k_rmse,native_k_cosine
21,small,absolute,independent_global,True,0.0,3,128,32,128,1.0,0.1853552609682083,0.9771976470947266
21,small,absolute,overlap_global,True,0.05,0,128,32,134,1.046875,0.0,1.0
21,small,absolute,overlap_global,True,0.05,1,128,32,134,1.046875,0.07545465975999832,0.994547963142395
21,small,absolute,overlap_global,True,0.05,2,128,32,134,1.046875,0.11277002841234207,0.9888983964920044
21,small,absolute,overlap_global,True,0.05,3,128,32,134,1.046875,0.1552392542362213,0.9851073622703552
21,small,absolute,overlap_global,True,0.1,0,128,32,137,1.0703125,0.0,1.0
21,small,absolute,overlap_global,True,0.1,1,128,32,137,1.0703125,0.07488861680030823,0.9946486949920654
21,small,absolute,overlap_global,True,0.1,2,128,32,137,1.0703125,0.11381390690803528,0.9885728359222412
21,small,absolute,overlap_global,True,0.1,3,128,32,137,1.0703125,0.1572057455778122,0.9845677018165588
21,small,absolute,overlap_global,True,0.25,0,128,32,152,1.1875,0.0,1.0
21,small,absolute,overlap_global,True,0.25,1,128,32,152,1.1875,0.060667477548122406,0.9965277314186096
21,small,absolute,overlap_global,True,0.25,2,128,32,152,1.1875,0.08920919895172119,0.9930604696273804
21,small,absolute,overlap_global,True,0.25,3,128,32,152,1.1875,0.13806819915771484,0.9878794550895691
21,small,absolute,overlap_global,True,0.5,0,128,32,176,1.375,0.0,1.0
21,small,absolute,overlap_global,True,0.5,1,128,32,176,1.375,0.04650312289595604,0.9980382323265076
21,small,absolute,overlap_global,True,0.5,2,128,32,176,1.375,0.07541128993034363,0.9954452514648438
21,small,absolute,overlap_global,True,0.5,3,128,32,176,1.375,0.09761884808540344,0.9944711923599243
42,small,absolute,independent_local,False,0.0,0,128,32,128,1.0,0.6685773134231567,0.6219001412391663
42,small,absolute,independent_local,False,0.0,1,128,32,128,1.0,0.6582145094871521,0.6235842704772949
42,small,absolute,independent_local,False,0.0,2,128,32,128,1.0,0.7154471278190613,0.5906011462211609
42,small,absolute,independent_local,False,0.0,3,128,32,128,1.0,0.7400368452072144,0.5591210722923279
42,small,absolute,independent_global,True,0.0,0,128,32,128,1.0,0.0,1.0
42,small,absolute,independent_global,True,0.0,1,128,32,128,1.0,0.19651900231838226,0.9721215963363647
42,small,absolute,independent_global,True,0.0,2,128,32,128,1.0,0.384440153837204,0.8914939165115356
42,small,absolute,independent_global,True,0.0,3,128,32,128,1.0,0.52653568983078,0.7714430093765259
42,small,absolute,overlap_global,True,0.05,0,128,32,134,1.046875,0.0,1.0
42,small,absolute,overlap_global,True,0.05,1,128,32,134,1.046875,0.21298246085643768,0.9684966802597046
42,small,absolute,overlap_global,True,0.05,2,128,32,134,1.046875,0.40521979331970215,0.8906344175338745
42,small,absolute,overlap_global,True,0.05,3,128,32,134,1.046875,0.5631255507469177,0.7385892868041992
42,small,absolute,overlap_global,True,0.1,0,128,32,137,1.0703125,0.0,1.0
42,small,absolute,overlap_global,True,0.1,1,128,32,137,1.0703125,0.2157818228006363,0.9677432179450989
42,small,absolute,overlap_global,True,0.1,2,128,32,137,1.0703125,0.41241970658302307,0.8858926296234131
42,small,absolute,overlap_global,True,0.1,3,128,32,137,1.0703125,0.5879269242286682,0.7156304121017456
42,small,absolute,overlap_global,True,0.25,0,128,32,152,1.1875,0.0,1.0
42,small,absolute,overlap_global,True,0.25,1,128,32,152,1.1875,0.20321571826934814,0.971573531627655
42,small,absolute,overlap_global,True,0.25,2,128,32,152,1.1875,0.425774484872818,0.8794859647750854
