active_tokens,candidate_records,case_id,cross_task_contamination,detail_depth,estimated_tokens_per_record,family,join_complete,logical_backing_tokens,matched_budget_tokens,materialized_tokens,policy,record_budget,relevant_record_recall,scope_latency_us,seed,selected_records,task_count,useful_precision,widened
1008,96,parallel-n16-r6-s37,0.9375,index,4,parallel,1,1008,192,192,session,48,1.0,9763.3998375386,37,48,16,0.020833333333333332,0
336,96,parallel-n16-r6-s37,0.9375,compact,12,parallel,1,336,192,192,session,16,1.0,6041.200133040547,37,16,16,0.0625,0
168,96,parallel-n16-r6-s37,1.0,selected,24,parallel,0,168,192,192,session,8,0.0,7814.999902620912,37,8,16,0.0,0
84,96,parallel-n16-r6-s37,1.0,full,48,parallel,0,84,192,192,session,4,0.0,7296.9000320881605,37,4,16,0.0,0
63,96,parallel-n16-r6-s37,1.0,native_kv,64,parallel,0,63,192,192,session,3,0.0,10314.500192180276,37,3,16,0.0,0
126,6,parallel-n16-r6-s37,0.0,index,4,parallel,1,126,192,24,task_local,48,1.0,3414.5000390708447,37,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s37,0.0,compact,12,parallel,1,126,192,72,task_local,16,1.0,2853.8000769913197,37,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s37,0.0,selected,24,parallel,1,126,192,144,task_local,8,1.0,2914.800075814128,37,6,16,0.16666666666666666,0
84,6,parallel-n16-r6-s37,0.0,full,48,parallel,1,84,192,192,task_local,4,1.0,2953.900024294853,37,4,16,0.25,0
63,6,parallel-n16-r6-s37,0.0,native_kv,64,parallel,1,63,192,192,task_local,3,1.0,2983.200130984187,37,3,16,0.3333333333333333,0
126,6,parallel-n16-r6-s37,0.0,index,4,parallel,1,126,192,24,task_structural,48,1.0,2529.700053855777,37,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s37,0.0,compact,12,parallel,1,126,192,72,task_structural,16,1.0,2266.7001467198133,37,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s37,0.0,selected,24,parallel,1,126,192,144,task_structural,8,1.0,1699.6001359075308,37,6,16,0.16666666666666666,0
84,6,parallel-n16-r6-s37,0.0,full,48,parallel,1,84,192,192,task_structural,4,1.0,1830.1000818610191,37,4,16,0.25,0
63,6,parallel-n16-r6-s37,0.0,native_kv,64,parallel,1,63,192,192,task_structural,3,1.0,3197.7000180631876,37,3,16,0.3333333333333333,0
126,6,parallel-n16-r6-s37,0.0,index,4,parallel,1,126,192,24,task_adaptive,48,1.0,2258.599968627095,37,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s37,0.0,compact,12,parallel,1,126,192,72,task_adaptive,16,1.0,1710.7001040130854,37,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s37,0.0,selected,24,parallel,1,126,192,144,task_adaptive,8,1.0,1689.4000582396984,37,6,16,0.16666666666666666,0
84,6,parallel-n16-r6-s37,0.0,full,48,parallel,1,84,192,192,task_adaptive,4,1.0,1764.5000480115414,37,4,16,0.25,0
63,6,parallel-n16-r6-s37,0.0,native_kv,64,parallel,1,63,192,192,task_adaptive,3,1.0,1688.2000491023064,37,3,16,0.3333333333333333,0
1008,96,parallel-n16-r6-s53,0.9375,index,4,parallel,1,1008,192,192,session,48,1.0,7651.900174096227,53,48,16,0.020833333333333332,0
