active_tokens,candidate_records,case_id,critical_path_depth,cross_task_contamination,edge_count,family,fork_count,join_complete,join_count,maximum_width,policy,record_budget,records_per_task,relevant_record_recall,scope_latency_us,seed,selected_records,task_count,total_records,useful_precision,widened
84,24,dag-n4-r6-s71,4,0.0,4,dag,1,1,1,1,task_structural,4,6,1.0,2302.6999551802874,71,4,4,24,1.0,0
126,6,dag-n8-r6-s11,8,0.0,9,dag,2,0,2,1,task_local,8,6,0.125,2701.4000806957483,11,6,8,48,0.16666666666666666,0
168,48,dag-n8-r6-s11,8,0.0,9,dag,2,1,2,1,task_structural,8,6,1.0,4591.60003811121,11,8,8,48,1.0,0
126,6,dag-n8-r6-s23,8,0.0,9,dag,2,0,2,1,task_local,8,6,0.125,883.5999760776758,23,6,8,48,0.16666666666666666,0
168,48,dag-n8-r6-s23,8,0.0,9,dag,2,1,2,1,task_structural,8,6,1.0,3021.300071850419,23,8,8,48,1.0,0
126,6,dag-n8-r6-s37,8,0.0,9,dag,2,0,2,1,task_local,8,6,0.125,3245.8999194204807,37,6,8,48,0.16666666666666666,0
168,48,dag-n8-r6-s37,8,0.0,9,dag,2,1,2,1,task_structural,8,6,1.0,5007.000174373388,37,8,8,48,1.0,0
126,6,dag-n8-r6-s53,8,0.0,9,dag,2,0,2,1,task_local,8,6,0.125,2766.299992799759,53,6,8,48,0.16666666666666666,0
168,48,dag-n8-r6-s53,8,0.0,9,dag,2,1,2,1,task_structural,8,6,1.0,2623.999956995249,53,8,8,48,1.0,0
126,6,dag-n8-r6-s71,8,0.0,9,dag,2,0,2,1,task_local,8,6,0.125,1462.6998454332352,71,6,8,48,0.16666666666666666,0
168,48,dag-n8-r6-s71,8,0.0,9,dag,2,1,2,1,task_structural,8,6,1.0,4204.700002446771,71,8,8,48,1.0,0
126,6,dag-n16-r6-s11,16,0.0,20,dag,5,0,5,1,task_local,8,6,0.0625,2260.300097987056,11,6,16,96,0.16666666666666666,0
168,96,dag-n16-r6-s11,16,0.0,20,dag,5,0,5,1,task_structural,8,6,0.5,7644.899887964129,11,8,16,96,1.0,0
126,6,dag-n16-r6-s23,16,0.0,20,dag,5,0,5,1,task_local,8,6,0.0625,2834.100043401122,23,6,16,96,0.16666666666666666,0
168,96,dag-n16-r6-s23,16,0.0,20,dag,5,0,5,1,task_structural,8,6,0.5,8117.0001067221165,23,8,16,96,1.0,0
126,6,dag-n16-r6-s37,16,0.0,20,dag,5,0,5,1,task_local,8,6,0.0625,3187.1998216956854,37,6,16,96,0.16666666666666666,0
168,96,dag-n16-r6-s37,16,0.0,20,dag,5,0,5,1,task_structural,8,6,0.5,14909.100020304322,37,8,16,96,1.0,0
126,6,dag-n16-r6-s53,16,0.0,20,dag,5,0,5,1,task_local,8,6,0.0625,2152.7998615056276,53,6,16,96,0.16666666666666666,0
168,96,dag-n16-r6-s53,16,0.0,20,dag,5,0,5,1,task_structural,8,6,0.5,9778.70007045567,53,8,16,96,1.0,0
126,6,dag-n16-r6-s71,16,0.0,20,dag,5,0,5,1,task_local,8,6,0.0625,2357.8000254929066,71,6,16,96,0.16666666666666666,0
168,96,dag-n16-r6-s71,16,0.0,20,dag,5,0,5,1,task_structural,8,6,0.5,7522.099884226918,71,8,16,96,1.0,0
