active_kv_bytes,active_kv_tokens,condition,cost_per_million_tokens,dataset,effort,example_id,gather_materialization_seconds,generated_tokens,gpu_utilization,graph_search_latency_seconds,h2d_bytes,h2d_seconds,measured,measurement_scope,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,routing_latency_seconds,throughput_requests_per_second,tokens_per_second,total_latency_seconds,tpot_seconds,ttft_seconds
16171008,3948,graph_balanced,not_measurable_local_hardware,2wikimultihopqa,E1_medium,03e971d208d911ebbd9cac1f6bf848b6,0.01797159994021058,3,not_captured,0.000763899995945394,11010048,0.01119380013551563,True,inherited_qwen_gate3_single_request,1231694336,1283457024,0.000763899995945394,2.188601413799481,6.5658042413984425,0.4569127999711782,0.13722740003140643,0.18175979994703084
22462464,5484,graph_high,not_measurable_local_hardware,2wikimultihopqa,E2_high,03e971d208d911ebbd9cac1f6bf848b6,0.02534130006097257,3,not_captured,0.001063500065356493,17301504,0.017337199999019504,True,inherited_qwen_gate3_single_request,1241344000,1283457024,0.001063500065356493,1.9274355218746342,5.7823065656239026,0.5188241000287235,0.15386735001811758,0.21036949998233467
31883264,7784,graph_sparse,not_measurable_local_hardware,musique,E0_low,2hop__10114_599630,0.05982319999020547,16,not_captured,0.006825099932029843,25690112,0.034519400098361075,True,inherited_qwen_gate3_single_request,1230686208,1283457024,0.006825099932029843,0.2150508637211413,3.4408138195382607,4.6500627000350505,0.28457708000205456,0.38055200001690537
182124544,44464,graph_balanced,not_measurable_local_hardware,musique,E1_medium,2hop__10114_599630,0.2389336999040097,16,not_captured,0.004139099968597293,175931392,0.15922220004722476,True,inherited_qwen_gate3_single_request,1306380800,1388314624,0.004139099968597293,0.1243449786294097,1.9895196580705552,8.042142200050876,0.48540476666142546,0.7599591000471264
196804608,48048,graph_high,not_measurable_local_hardware,musique,E2_high,2hop__10114_599630,0.2623406001366675,16,not_captured,0.005066200043074787,190611456,0.17557879991363734,True,inherited_qwen_gate3_single_request,1310988288,1388314624,0.005066200043074787,0.11541753823796541,1.8466806118074466,8.664194499957375,0.5198511600028723,0.8657588999485597
29933568,7308,graph_sparse,not_measurable_local_hardware,musique,E0_low,2hop__103889_86452,0.07370719988830388,16,not_captured,0.004095699987374246,22020096,0.04197939997538924,True,inherited_qwen_gate3_single_request,1232688640,1308622848,0.004095699987374246,0.28303327325471106,4.528532372075377,3.533153499942273,0.2162251866655424,0.2889225999824703
154714112,37772,graph_balanced,not_measurable_local_hardware,musique,E1_medium,2hop__103889_86452,0.19966140005271882,16,not_captured,0.0034219000954180956,146800640,0.13335359992925078,True,inherited_qwen_gate3_single_request,1316424192,1413480448,0.0034219000954180956,0.14756850561615853,2.3610960898585365,6.776513700024225,0.409454600000754,0.6340593999484554
154714112,37772,graph_high,not_measurable_local_hardware,musique,E2_high,2hop__103889_86452,0.24869430006947368,16,not_captured,0.0036506999749690294,146800640,0.14535420027095824,True,inherited_qwen_gate3_single_request,1316459008,1413480448,0.0036506999749690294,0.14513933027219858,2.3222292843551773,6.889931200072169,0.41306940666399894,0.6928776000859216
30277632,7392,graph_sparse,not_measurable_local_hardware,musique,E0_low,2hop__104095_40501,0.06052759988233447,16,not_captured,0.005682599963620305,23855104,0.03607239970006049,True,inherited_qwen_gate3_single_request,1229862912,1296039936,0.005682599963620305,0.27818157378662534,4.450905180586005,3.5947744000004604,0.22042829333804548,0.28748459997586906
197263360,48160,graph_balanced,not_measurable_local_hardware,musique,E1_medium,2hop__104095_40501,0.2628757996717468,16,not_captured,0.005388099933043122,190840832,0.17503150005359203,True,inherited_qwen_gate3_single_request,1317565440,1400897536,0.005388099933043122,0.12029711944868245,1.9247539111789191,8.312751000048593,0.5081648133384685,0.6893351000035182
