dataset,example_id,policy,N,E,K_search,K_admit,search_K_over_N,admit_K_over_N,search_R_E,admit_R_E,KV_active
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,factorized_oracle,21,1,1,1,0.047619047619047616,0.047619047619047616,1.0,1.0,256.0
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,factorized_oracle,21,1,1,1,0.047619047619047616,0.047619047619047616,1.0,1.0,256.0
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,factorized_oracle,21,1,1,1,0.047619047619047616,0.047619047619047616,1.0,1.0,256.0
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,factorized_oracle,21,1,1,1,0.047619047619047616,0.047619047619047616,1.0,1.0,256.0
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,factorized_oracle,24,1,7,7,0.2916666666666667,0.2916666666666667,1.0,1.0,1792.0
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,factorized_oracle,24,1,1,1,0.041666666666666664,0.041666666666666664,1.0,1.0,256.0
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,factorized_oracle,24,1,4,4,0.16666666666666666,0.16666666666666666,1.0,1.0,906.0
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,factorized_oracle,24,1,1,1,0.041666666666666664,0.041666666666666664,1.0,1.0,256.0
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,factorized_oracle,24,1,2,2,0.08333333333333333,0.08333333333333333,1.0,1.0,512.0
hotpotqa,5ab2b863554299295394685a,R1_factorized,6,2,3,3,0.5,0.5,1.0,1.0,761.0
hotpotqa,5ab2b863554299295394685a,R1_factorized,6,2,3,3,0.5,0.5,1.0,1.0,761.0
hotpotqa,5ab2b863554299295394685a,R1_factorized,6,2,3,3,0.5,0.5,1.0,1.0,761.0
hotpotqa,5ab2b863554299295394685a,R1_factorized,6,2,3,3,0.5,0.5,1.0,1.0,761.0
hotpotqa,5ab2b863554299295394685a,R1_factorized,6,2,2,2,0.3333333333333333,0.3333333333333333,0.5,0.5,512.0
hotpotqa,5a710a915542994082a3e504,R1_factorized,5,2,3,3,0.6,0.6,1.0,1.0,768.0
hotpotqa,5a710a915542994082a3e504,R1_factorized,5,2,4,4,0.8,0.8,1.0,1.0,1024.0
hotpotqa,5a710a915542994082a3e504,R1_factorized,5,2,2,2,0.4,0.4,0.5,0.5,384.0
hotpotqa,5a710a915542994082a3e504,R1_factorized,5,2,4,4,0.8,0.8,1.0,1.0,896.0
hotpotqa,5a710a915542994082a3e504,R1_factorized,5,2,4,4,0.8,0.8,0.5,0.5,896.0
hotpotqa,5adc93a4554299438c868e01,R1_factorized,5,3,3,3,0.6,0.6,0.6666666666666666,0.6666666666666666,768.0
hotpotqa,5adc93a4554299438c868e01,R1_factorized,5,3,1,1,0.2,0.2,0.0,0.0,173.0
hotpotqa,5adc93a4554299438c868e01,R1_factorized,5,3,2,2,0.4,0.4,0.6666666666666666,0.6666666666666666,512.0
hotpotqa,5adc93a4554299438c868e01,R1_factorized,5,3,3,3,0.6,0.6,0.6666666666666666,0.6666666666666666,768.0
hotpotqa,5adc93a4554299438c868e01,R1_factorized,5,3,1,1,0.2,0.2,0.3333333333333333,0.3333333333333333,256.0
hotpotqa,5a8888e35542997e5c09a5f6,R1_factorized,5,2,3,3,0.6,0.6,0.5,0.5,722.0
hotpotqa,5a8888e35542997e5c09a5f6,R1_factorized,5,2,3,3,0.6,0.6,1.0,1.0,722.0
hotpotqa,5a8888e35542997e5c09a5f6,R1_factorized,5,2,3,3,0.6,0.6,1.0,1.0,722.0
hotpotqa,5a8888e35542997e5c09a5f6,R1_factorized,5,2,1,1,0.2,0.2,0.5,0.5,210.0
hotpotqa,5a8888e35542997e5c09a5f6,R1_factorized,5,2,3,3,0.6,0.6,1.0,1.0,722.0
hotpotqa,5a8c8502554299585d9e36d0,R1_factorized,7,2,3,3,0.42857142857142855,0.42857142857142855,0.5,0.5,715.0
hotpotqa,5a8c8502554299585d9e36d0,R1_factorized,7,2,1,1,0.14285714285714285,0.14285714285714285,0.0,0.0,256.0
hotpotqa,5a8c8502554299585d9e36d0,R1_factorized,7,2,3,3,0.42857142857142855,0.42857142857142855,0.5,0.5,715.0
hotpotqa,5a8c8502554299585d9e36d0,R1_factorized,7,2,3,3,0.42857142857142855,0.42857142857142855,0.5,0.5,715.0
hotpotqa,5a8c8502554299585d9e36d0,R1_factorized,7,2,3,3,0.42857142857142855,0.42857142857142855,0.5,0.5,715.0
hotpotqa,5a80d6be55429938b6142206,R1_factorized,6,2,4,4,0.6666666666666666,0.6666666666666666,0.5,0.5,1024.0
hotpotqa,5a80d6be55429938b6142206,R1_factorized,6,2,2,2,0.3333333333333333,0.3333333333333333,0.0,0.0,512.0
hotpotqa,5a80d6be55429938b6142206,R1_factorized,6,2,3,3,0.5,0.5,0.0,0.0,705.0
hotpotqa,5a80d6be55429938b6142206,R1_factorized,6,2,2,2,0.3333333333333333,0.3333333333333333,0.0,0.0,512.0
hotpotqa,5a80d6be55429938b6142206,R1_factorized,6,2,2,2,0.3333333333333333,0.3333333333333333,0.5,0.5,512.0
hotpotqa,5ab88c075542991b5579efbe,R1_factorized,7,2,1,1,0.14285714285714285,0.14285714285714285,0.0,0.0,256.0
hotpotqa,5ab88c075542991b5579efbe,R1_factorized,7,2,1,1,0.14285714285714285,0.14285714285714285,0.5,0.5,256.0
hotpotqa,5ab88c075542991b5579efbe,R1_factorized,7,2,3,3,0.42857142857142855,0.42857142857142855,0.5,0.5,768.0
hotpotqa,5ab88c075542991b5579efbe,R1_factorized,7,2,3,3,0.42857142857142855,0.42857142857142855,1.0,1.0,768.0
hotpotqa,5ab88c075542991b5579efbe,R1_factorized,7,2,3,3,0.42857142857142855,0.42857142857142855,0.5,0.5,768.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,R1_factorized,11,1,4,4,0.36363636363636365,0.36363636363636365,1.0,1.0,1015.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,R1_factorized,11,1,2,2,0.18181818181818182,0.18181818181818182,1.0,1.0,503.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,R1_factorized,11,1,1,1,0.09090909090909091,0.09090909090909091,0.0,0.0,247.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,R1_factorized,11,1,4,4,0.36363636363636365,0.36363636363636365,1.0,1.0,1015.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,R1_factorized,11,1,4,4,0.36363636363636365,0.36363636363636365,1.0,1.0,1015.0
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,R1_factorized,14,1,3,3,0.21428571428571427,0.21428571428571427,0.0,0.0,768.0
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,R1_factorized,14,1,1,1,0.07142857142857142,0.07142857142857142,1.0,1.0,256.0
