catalog_size,strategy,max_candidates,required_recall_mean,required_recall_std,useful_precision_mean,useful_precision_std,unsafe_exposure_mean,unsafe_exposure_std,context_tokens_mean,context_tokens_std
2048,A5_topk,10,0.39166666666666666,0.007917884896521805,0.04847222222222223,0.001141088661469093,0.12638888888888888,0.015835769793043592,1075.0,0.19245008972987807
2048,A5_topk,20,0.45138888888888895,0.012991865926298416,0.028819444444444443,0.0010123180372995308,0.19166666666666665,0.03279366375865997,2163.751388888889,0.6302709832649194
2048,A6_topk,2,0.5069444444444444,0.0273403051180966,0.2604166666666667,0.013670152559048283,0.08055555555555556,0.01743041721945991,201.9777777777778,0.6450936624501449
2048,A6_topk,3,0.5472222222222223,0.016579633869879592,0.1884259259259259,0.006254285225049215,0.09305555555555556,0.01743041721945991,310.15833333333336,0.5787143517538925
2048,A6_topk,4,0.5833333333333333,0.012991865926298422,0.15243055555555557,0.0031056499687497074,0.10416666666666667,0.01473139127471974,417.99027777777775,0.3815844262842784
2048,A6_topk,5,0.6055555555555555,0.009054447785003694,0.1277777777777778,0.0025983731852596893,0.11111111111111112,0.010980130764473536,526.4208333333333,0.42042861910842927
2048,A6_topk,6,0.6305555555555555,0.005810139073153274,0.11157407407407402,0.0010352166562498989,0.11666666666666665,0.009054447785003677,634.6069444444445,0.46707777857074734
2048,A6_topk,8,0.6694444444444445,0.007917884896521815,0.08940972222222222,0.0008680555555555525,0.12916666666666668,0.007917884896521794,851.525,0.3379169806364735
2048,A6_topk,10,0.6916666666666667,0.012615209808739543,0.07444444444444445,0.0010300275676521737,0.13472222222222224,0.007917884896521798,1069.4069444444444,0.6309057397655238
2048,A6_topk,20,0.7763888888888889,0.007607257743127333,0.042847222222222224,0.0009381427837573815,0.16111111111111112,0.0076072577431273,2158.486111111111,1.1494471631459082
