dataset,profile,geometry,layer,n,residual_divergence_mean,residual_divergence_sd
2wikimultihopqa,even_8,whole_parent,20,16,0.13313566148281097,0.22190054328958994
2wikimultihopqa,even_8,whole_parent,21,16,0.14147206395864487,0.2394949701971187
2wikimultihopqa,even_8,whole_parent,22,16,0.13580350577831268,0.23177827616171445
2wikimultihopqa,even_8,whole_parent,23,16,0.13485073670744896,0.2317431912884983
2wikimultihopqa,even_8,whole_parent,24,16,0.14000773429870605,0.2416815027076028
2wikimultihopqa,even_8,whole_parent,25,16,0.13964395597577095,0.2431833805122116
2wikimultihopqa,even_8,whole_parent,26,16,0.15048055350780487,0.2622568592713248
2wikimultihopqa,even_8,whole_parent,27,16,0.19719674810767174,0.326055895090242
2wikimultihopqa,last_1,whole_parent,0,16,1.1920928955078125e-07,1.3160349229466688e-07
2wikimultihopqa,last_1,whole_parent,1,16,1.1920928955078125e-07,1.4292691717483756e-07
2wikimultihopqa,last_1,whole_parent,2,16,1.0803341865539551e-07,1.0790488390594898e-07
2wikimultihopqa,last_1,whole_parent,3,16,9.313225746154785e-08,9.416956201020284e-08
2wikimultihopqa,last_1,whole_parent,4,16,1.0803341865539551e-07,1.1584395025272826e-07
2wikimultihopqa,last_1,whole_parent,5,16,1.043081283569336e-07,1.255594160136038e-07
2wikimultihopqa,last_1,whole_parent,6,16,1.0803341865539551e-07,1.250610525279829e-07
2wikimultihopqa,last_1,whole_parent,7,16,6.332993507385254e-08,9.056363836782588e-08
2wikimultihopqa,last_1,whole_parent,8,16,7.82310962677002e-08,8.870572522126628e-08
2wikimultihopqa,last_1,whole_parent,9,16,7.82310962677002e-08,1.259456687001658e-07
2wikimultihopqa,last_1,whole_parent,10,16,8.568167686462402e-08,9.178135540153771e-08
2wikimultihopqa,last_1,whole_parent,11,16,1.043081283569336e-07,1.1638178938488147e-07
2wikimultihopqa,last_1,whole_parent,12,16,9.685754776000977e-08,1.1126089485785424e-07
2wikimultihopqa,last_1,whole_parent,13,16,1.4528632164001465e-07,1.172727066181391e-07
2wikimultihopqa,last_1,whole_parent,14,16,1.2665987014770508e-07,1.279679241576617e-07
2wikimultihopqa,last_1,whole_parent,15,16,8.940696716308594e-08,1.4901161193847656e-07
2wikimultihopqa,last_1,whole_parent,16,16,9.685754776000977e-08,1.1323902125336724e-07
2wikimultihopqa,last_1,whole_parent,17,16,6.332993507385254e-08,6.818400777028175e-08
2wikimultihopqa,last_1,whole_parent,18,16,7.450580596923828e-08,9.771344846937061e-08
2wikimultihopqa,last_1,whole_parent,19,16,8.940696716308594e-08,9.8843121241194e-08
