dataset,chunk_size,K,B,complete_recovery,node_recall,selected_source_fraction,evidence_density,nodes_expanded
2wikimultihopqa,256,1,none,0.5,0.7791666666666667,0.5687279709075251,0.10680092440139664,2.9166666666666665
2wikimultihopqa,256,2,6,0.75,0.8895833333333334,0.7375543999711934,0.09080727549041517,3.75
2wikimultihopqa,256,2,16,0.75,0.8895833333333334,0.7375543999711934,0.09080727549041517,3.75
2wikimultihopqa,256,2,none,0.75,0.8895833333333334,0.7375543999711934,0.09080727549041517,3.75
2wikimultihopqa,256,4,6,0.9583333333333334,0.9791666666666666,0.9301410466972101,0.07811574045426845,3.25
2wikimultihopqa,256,4,16,0.9583333333333334,0.9791666666666666,0.9395652259572415,0.07766657166537336,3.7916666666666665
2wikimultihopqa,256,4,none,0.9583333333333334,0.9791666666666666,0.9395652259572415,0.07766657166537336,3.7916666666666665
2wikimultihopqa,256,6,6,0.9166666666666666,0.9583333333333334,0.9431092741583873,0.07623220620550009,2.0
2wikimultihopqa,256,6,16,1.0,1.0,0.9951179057738471,0.07589843779202456,2.5
2wikimultihopqa,256,6,none,1.0,1.0,0.9951179057738471,0.07589843779202456,2.5
2wikimultihopqa,256,8,6,0.9166666666666666,0.9583333333333334,0.9431092741583873,0.07623220620550009,2.0
2wikimultihopqa,256,8,16,1.0,1.0,1.0,0.07575495277107723,2.0
2wikimultihopqa,256,8,none,1.0,1.0,1.0,0.07575495277107723,2.0
