dataset,example_id,partition,seed,root_mode,R_root,K,H,B,correct_root_present,oracle_node_recall,complete_graph,conditional_complete_graph,visited_count,nodes_expanded,search_comparisons,search_seconds
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,37,bounded_contextual_facets,4,6,4,16,0,1.0,1,,6,2,10,0.0013921000063419342
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,53,bounded_contextual_facets,1,6,4,16,0,1.0,1,,6,2,10,0.001563000027090311
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,53,bounded_contextual_facets,2,6,4,16,0,1.0,1,,6,2,10,0.0014847000129520893
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,53,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,6,2,10,0.0011647999635897577
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,71,bounded_contextual_facets,1,6,4,16,0,1.0,1,,6,2,10,0.001499100006185472
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,71,bounded_contextual_facets,2,6,4,16,0,1.0,1,,6,2,10,0.0013764000032097101
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,71,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,6,2,10,0.0011564000160433352
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,11,bounded_contextual_facets,1,6,4,16,0,0.5,0,,9,9,54,0.006220599985681474
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,11,bounded_contextual_facets,2,6,4,16,0,0.5,0,,9,9,54,0.0040268999873660505
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,11,bounded_contextual_facets,4,6,4,16,0,0.5,0,,10,10,60,0.004271799989510328
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,23,bounded_contextual_facets,1,6,4,16,0,0.5,0,,8,8,48,0.0029102000407874584
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,23,bounded_contextual_facets,2,6,4,16,0,0.5,0,,8,8,48,0.00473509996663779
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,23,bounded_contextual_facets,4,6,4,16,0,0.5,0,,9,9,54,0.005547399981878698
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,37,bounded_contextual_facets,1,6,4,16,0,0.5,0,,9,9,54,0.006056800018996
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,37,bounded_contextual_facets,2,6,4,16,0,0.5,0,,9,9,54,0.005947900004684925
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,37,bounded_contextual_facets,4,6,4,16,0,0.5,0,,10,10,60,0.004207999969366938
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,53,bounded_contextual_facets,1,6,4,16,0,0.5,0,,8,8,48,0.0028223000117577612
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,53,bounded_contextual_facets,2,6,4,16,0,0.5,0,,9,9,54,0.0030886000022292137
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,53,bounded_contextual_facets,4,6,4,16,0,0.5,0,,10,10,60,0.005762199987657368
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,71,bounded_contextual_facets,1,6,4,16,0,0.5,0,,9,9,54,0.005114300001878291
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,71,bounded_contextual_facets,2,6,4,16,0,0.5,0,,9,9,54,0.004854800004977733
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,71,bounded_contextual_facets,4,6,4,16,0,0.5,0,,10,10,60,0.005695200001355261
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,11,bounded_contextual_facets,1,6,4,16,0,1.0,1,,7,7,42,0.0026643999735824764
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,11,bounded_contextual_facets,2,6,4,16,0,1.0,1,,7,7,42,0.0025336999678984284
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,11,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,7,7,42,0.0022945000091567636
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,23,bounded_contextual_facets,1,6,4,16,0,1.0,1,,7,7,42,0.0025439999881200492
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,23,bounded_contextual_facets,2,6,4,16,0,1.0,1,,7,7,42,0.0029753000126220286
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,23,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,8,8,48,0.004962000006344169
